lettr,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
A,3.0,10.0,6.0,7.0,3.0,11.0,3.0,2.0,3.0,10.0,2.0,9.0,3.0,6.0,3.0,8.0
Z,1.0,0.0,1.0,1.0,0.0,7.0,7.0,2.0,9.0,8.322223,6.0,8.0,0.0,8.0,5.0,8.0
M,6.0,9.0,11.570687,7.0,7.0,3.0,8.0,4.0,5.0,10.0,11.0,11.0,10.0,10.0,4.0,8.0
G,3.0,4.0,4.0,5.1983824,2.0,6.0,7.0,7.0,6.0,7.0,6.0,11.0,2.0,8.0,4.0,10.0
J,3.0,9.0,4.0,6.0,2.0,9.0,6.0,3.0,5.0,14.0,4.0,10.0,0.0,7.0,1.0,7.0
K,9.0,15.0,9.0,9.0,6.0,6.0,9.0,4.0,6.388469,9.0,6.0,8.0,4.0,8.0,5.0,7.0
K,3.0,5.0,5.0,4.0,3.0,6.0,8.0,3.0,7.0,6.0,5.0,8.0,3.0,8.0,3.0,8.0
L,3.0,6.0,3.0,8.0,1.0,0.0,1.0,5.0,6.0,0.0,0.0,7.0,0.0,8.0,0.0,8.0
E,2.0,4.0,3.0,6.0,2.0,3.0,8.0,6.0,10.0,7.0,6.0,14.0,0.0,8.0,7.0,7.647634
J,4.0,7.0,6.0,5.0,3.0,8.0,4.0,6.0,4.0,14.0,8.0,14.0,1.0,6.0,1.0,7.0
Y,4.0,8.0,5.0,5.0,2.0,4.0,10.0,2.0,7.0,10.0,10.0,6.0,1.0,11.0,2.0,4.0
Y,8.181846,11.0,9.0,8.0,4.0,4.0,10.0,1.0,8.0,11.0,11.0,5.0,1.0,11.0,3.0,4.0
U,2.0,3.0,3.0,3.0,1.0,6.0,5.0,8.0,5.0,6.0,9.0,7.0,3.0,9.0,0.0,7.0
Y,6.0,11.0,6.0,8.0,3.0,3.0,9.0,1.0,8.0,10.0,10.0,6.0,1.0,10.0,3.0,4.0
D,6.0,10.0,9.0,8.0,7.0,5.0,7.0,6.0,6.0,7.0,6.0,9.0,5.0,8.0,6.0,5.3370275
Y,2.0,1.0,2.0,2.0,1.0,7.0,10.0,1.0,5.0,7.0,11.0,8.0,1.0,11.0,1.0,8.0
J,1.0,2.0,2.0,2.0,1.0,10.0,6.0,2.0,7.0,12.0,4.0,8.0,0.0,7.0,1.0,8.0
V,5.0,11.0,6.0,8.0,5.0,6.0,12.0,3.0,2.0,7.0,10.0,9.0,3.0,10.0,5.0,9.0
U,3.0,1.0,4.0,2.0,2.0,5.0,8.0,6.0,8.0,7.0,9.0,9.0,3.0,9.0,1.0,8.0
Q,2.0,3.0,4.0,4.0,3.0,9.0,10.0,5.0,3.0,5.0,6.0,10.263394,2.0,9.0,6.0,10.0
A,2.0,6.0,4.0,4.0,2.0,11.0,2.187592,3.0,2.0,10.0,2.0,9.0,2.0,6.0,3.0,8.0
X,3.0,5.0,5.0,3.0,2.0,8.0,8.0,2.0,8.0,11.0,5.0,7.0,2.0,6.0,3.0,8.0
W,3.0,4.0,5.0,3.0,3.0,6.0,11.0,3.0,2.0,7.0,8.0,9.0,7.0,10.0,0.0,8.0
D,4.0,9.0,5.0,6.0,5.0,11.0,6.0,2.0,5.0,10.0,3.0,6.0,3.0,8.0,3.0,9.0
Q,5.0,8.0,6.0,7.0,4.0,7.0,7.0,7.0,5.0,7.0,7.0,10.0,3.0,8.0,4.0,8.0
V,1.0,0.0,2.0,1.0,0.0,8.0,9.0,3.0,2.0,7.0,12.0,8.0,2.0,10.0,0.0,8.0
S,4.0,9.0,6.0,6.0,4.0,10.0,3.0,2.0,5.0,10.0,3.0,9.0,3.0,8.0,3.0,9.0
K,5.0,10.0,6.0,5.0,3.0,4.0,9.0,2.0,5.0,10.0,8.0,11.0,4.0,7.0,3.0,8.0
A,2.0,6.0,2.0,4.0,2.0,9.0,4.535314,2.0,0.0,8.0,2.0,8.0,2.0,7.0,1.0,8.0
F,4.0,7.0,7.0,5.0,5.0,6.0,10.0,2.0,5.0,11.0,7.0,6.0,5.0,9.0,3.0,6.0
M,3.0,7.0,5.0,4.0,5.0,8.0,6.0,5.0,4.0,6.0,6.0,5.0,8.0,7.0,3.0,5.0
S,6.0,9.0,6.0,5.0,3.0,9.0,6.0,3.0,5.0,10.0,4.0,7.0,3.0,9.0,5.0,10.0
M,7.0,9.0,11.0,8.0,6.0,5.0,8.0,3.0,5.0,9.0,8.0,7.0,9.170614,6.0,4.0,7.0
X,4.0,8.0,5.0,5.0,1.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,3.0,8.0,4.0,8.0
P,3.0,6.0,4.0,4.554428,3.0,7.0,8.0,5.0,5.0,10.0,6.0,5.0,1.0,10.0,3.0,8.0
L,2.0,6.0,2.0,4.0,2.0,8.0,5.0,2.0,6.0,9.0,2.0,10.0,1.0,6.0,2.0,8.0
Q,3.0,4.0,4.0,6.0,4.0,9.0,10.0,5.0,2.0,3.0,8.0,11.652076,3.0,10.0,5.250881,10.0
G,1.0,2.0,2.0,1.0,1.0,7.0,8.0,5.0,5.0,7.0,6.0,9.0,2.0,8.0,4.0,9.0
T,3.0,3.0,3.0,2.0,1.0,5.0,13.0,3.0,6.0,11.0,9.0,4.0,1.0,10.0,1.0,5.0
F,3.0,8.0,5.0,5.0,5.0,5.0,9.0,0.0,3.0,9.0,8.0,7.0,4.0,9.0,3.0,4.0
R,4.0,7.0,4.0,5.0,4.0,5.0,10.0,7.0,3.0,7.0,4.0,8.0,2.0,7.0,5.0,11.0
J,5.0,10.0,6.3947225,8.0,4.0,11.0,6.0,2.0,7.0,13.0,2.0,7.0,0.0,7.0,1.0,8.0
M,4.0,7.0,4.0,5.0,3.0,8.0,7.0,12.0,0.0,6.0,9.0,8.0,7.0,6.0,0.0,8.0
B,2.0,3.0,2.0,1.0,2.0,7.0,7.0,5.0,5.0,6.0,6.0,7.0,2.0,8.0,5.0,10.0
U,3.0,9.0,3.0,6.0,2.0,7.0,5.0,14.552054,5.0,7.0,13.0,8.0,3.0,9.0,0.0,8.0
U,5.0,5.0,6.0,3.0,2.0,5.0,8.0,5.0,8.0,9.0,8.0,9.0,3.0,9.0,3.0,5.0
L,2.0,7.0,4.0,5.0,1.0,7.0,4.0,0.0,8.0,9.0,2.0,10.0,0.0,7.0,2.0,8.0
N,4.0,8.0,6.0,6.0,7.0,7.0,8.0,3.0,4.0,8.0,6.0,8.0,6.0,8.0,5.86488,3.0
H,2.0,1.0,2.0,1.0,1.0,7.0,7.0,5.0,6.0,7.0,6.0,8.0,4.0,8.0,3.0,7.0
K,6.0,11.0,7.0,8.0,4.0,9.0,7.0,2.082516,7.0,10.0,4.0,7.0,3.0,8.0,5.0,9.0
R,3.0,5.0,4.0,4.0,2.0,7.0,7.0,6.0,5.0,6.0,5.0,6.0,3.0,7.0,4.0,8.0
