lettr,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
F,3.0,7.0,4.0,5.0,2.0,1.0,11.0,4.0,5.0,11.0,11.0,9.0,0.0,8.0,2.0,6.0
Z,1.0,0.0,2.0,0.0,0.0,7.0,7.0,2.0,9.0,8.0,6.0,8.0,0.0,8.0,6.0,8.0
V,7.0,11.0,8.0,8.0,7.0,5.0,11.0,2.0,3.0,7.0,10.0,9.0,2.0,9.0,3.0,8.0
O,5.0,8.0,7.0,6.0,8.0,8.0,6.0,6.0,2.0,7.0,7.0,8.0,7.0,10.0,3.0,8.0
T,4.0,7.0,5.0,5.0,4.0,3.0,12.0,5.0,4.0,11.0,10.0,6.0,2.0,11.0,0.0,7.0
F,3.0,5.0,4.0,3.0,2.0,5.0,12.0,4.0,5.0,12.0,9.0,3.452789,1.0,10.0,3.0,6.0
V,7.0,13.0,7.0,8.0,5.0,6.0,7.0,3.0,3.0,7.0,9.0,7.0,3.0,9.0,2.0,7.0
S,3.0,4.0,4.0,3.0,2.0,8.0,7.0,2.0,5.0,10.0,6.0,8.0,1.0,9.0,4.0,8.0
Y,4.0,10.0,6.0,8.0,4.0,7.0,10.0,2.0,7.0,7.0,12.6877575,9.0,2.0,11.0,2.0,8.0
K,8.9365,15.0,9.0,8.0,5.0,10.0,6.0,3.0,6.0,11.0,2.0,8.0,5.0,6.0,4.0,10.0
K,4.0,7.0,6.0,5.0,7.0,7.0,6.0,3.0,5.0,7.0,5.0,9.0,7.0,8.0,6.0,8.0
E,4.0,11.0,7.0,8.0,7.0,7.0,7.0,5.0,6.0,7.0,6.0,11.0,5.0,8.0,8.0,8.0
R,6.0,10.0,8.946355,8.0,9.0,7.0,8.0,3.0,5.0,6.0,6.0,9.0,8.0,11.0,9.0,6.0
S,5.0,9.0,7.0,7.0,7.0,8.0,7.0,5.0,6.0,7.0,6.0,8.0,3.0,9.0,9.0,8.0
V,5.0,4.0,5.0,2.0,2.0,3.0,12.0,3.0,3.0,9.0,11.0,7.0,3.0,11.0,1.0,7.0
K,2.0,4.0,3.0,2.0,2.0,4.0,7.0,4.0,5.0,7.0,7.0,11.611171,3.0,8.0,4.0,9.0
A,3.0,9.0,4.0,5.0,3.0,10.0,2.0,2.0,2.0,8.0,2.0,9.0,2.0,6.0,2.0,7.0
I,0.0,7.0,0.0,5.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0
H,6.0,9.0,8.0,7.0,9.0,7.0,8.0,6.0,6.0,7.0,6.0,6.0,3.0,8.0,4.0,7.0
B,3.0,2.0,4.0,4.0,3.0,8.0,8.0,7.0,7.0,7.0,5.0,6.0,2.0,8.0,8.0,9.0
U,6.0,14.0,7.0,8.0,5.0,6.0,6.0,4.0,3.0,7.0,6.0,8.0,7.0,6.0,4.0,8.0
N,5.0,10.0,7.0,8.0,5.0,8.0,8.0,7.0,5.0,7.0,6.0,7.0,5.0,7.0,3.0,6.181347
D,5.0,11.0,6.0,7.0,4.0,9.0,6.0,4.0,6.0,10.0,3.0,6.0,3.0,8.0,4.0,8.0
A,8.938432,12.0,8.0,7.0,4.0,8.0,4.0,4.0,3.0,7.0,2.0,8.0,5.0,6.0,4.0,7.0
A,3.0,7.0,6.0,5.0,4.0,8.0,2.0,2.0,2.0,6.0,2.0,8.0,3.0,7.0,4.0,6.0
B,1.0,0.0,1.0,0.0,0.0,8.0,7.0,6.0,5.0,7.0,6.0,7.0,1.0,8.0,6.0,9.0
P,7.0,12.0,7.0,6.0,4.0,8.0,8.0,3.0,5.0,13.0,5.0,5.0,4.0,9.0,6.0,8.0
N,5.0,5.0,7.0,4.0,3.0,8.0,8.0,2.0,5.0,10.0,5.0,6.0,5.464166,9.0,2.0,7.0
B,4.0,8.0,5.0,6.0,7.0,8.0,7.0,5.0,5.0,7.0,7.0,7.0,9.0,11.0,6.0,8.0
L,2.0,4.0,3.0,3.0,1.0,5.0,4.0,4.0,7.0,3.6706355,2.0,6.0,1.0,6.0,1.0,6.0
V,2.0,1.0,4.0,2.0,1.0,6.0,12.0,3.0,3.0,8.0,11.0,8.0,2.0,10.0,1.0,8.0
I,3.0,7.0,4.0,6.0,2.0,6.0,8.0,0.0,7.0,13.0,7.0,7.0,0.0,8.0,1.0,7.0
F,3.0,9.0,6.0,7.0,4.0,7.0,9.0,2.0,5.0,13.0,6.0,5.0,4.0,9.0,3.0,8.0
E,5.0,5.0,5.0,8.0,3.0,4.0,8.0,6.0,10.521647,7.0,6.0,10.0,0.0,8.0,8.0,7.0
L,5.0,8.0,7.0,6.0,3.0,5.0,3.0,3.0,8.0,6.0,1.0,8.0,1.0,5.0,3.0,7.0
V,1.0,0.0,2.0,1.0,1.0,7.0,9.0,3.0,2.0,7.0,11.0,8.0,2.0,10.0,0.0,8.0
D,5.0,11.0,4.0,7.0,3.0,5.0,7.0,9.0,7.0,6.0,5.0,5.0,3.0,8.0,4.0,8.0
U,6.0,10.0,7.0,7.0,4.0,4.0,8.0,5.0,7.0,10.0,9.0,9.0,3.0,9.0,2.0,5.0
F,6.0,11.0,8.0,8.0,7.0,4.0,12.0,2.0,4.0,10.0,8.0,5.0,4.0,9.0,5.0,5.0
P,6.0,10.0,6.0,11.956029,4.0,3.0,12.0,7.0,2.0,11.0,7.0,3.0,1.0,10.0,4.0,8.0
J,3.0,6.0,5.0,4.0,3.0,6.0,7.0,3.0,5.0,14.0,7.0,10.0,1.0,6.0,0.0,7.0
P,5.0,6.0,5.0,8.0,6.0,5.0,11.0,3.0,1.0113219,9.0,8.0,5.0,2.0,10.0,2.289323,8.0
B,3.0,6.0,4.0,4.0,3.0,6.0,8.0,8.0,5.0,7.0,6.0,7.0,2.0,8.0,8.0,11.0
W,2.0,1.0,3.0,1.0,2.0,7.0,11.0,3.0,2.0,7.0,9.0,8.0,5.0,11.0,0.0,8.0
B,5.0,9.0,5.0,6.0,4.0,6.0,6.0,9.0,7.0,6.0,6.0,7.0,2.0,8.0,9.0,10.0
Y,5.0,4.0,6.0,6.0,7.0,8.46903,7.0,6.0,3.0,7.0,8.0,8.0,6.0,9.0,7.346654,5.0
Y,6.0,11.0,6.0,8.0,4.0,3.0,11.0,3.0,6.0,11.0,11.0,6.0,2.0,11.0,2.0,5.0
P,5.0,8.0,6.0,6.0,5.0,5.0,8.0,7.0,4.0,7.0,6.0,8.0,2.0,8.0,5.0,8.0
P,5.0,11.0,6.0,8.0,6.0,7.0,8.0,4.0,4.0,10.0,6.0,5.248184,4.0,10.0,5.0,8.0
V,4.0,9.0,6.0,7.0,2.0,8.0,8.0,5.0,2.0,6.0,13.0,8.0,3.0,10.0,0.0,8.0
N,3.0,4.0,5.0,3.0,2.0,6.0,9.0,3.0,5.0,10.0,7.0,8.0,5.0,8.0,1.0,8.0
A,2.0,1.0,4.0,3.0,1.0,8.0,1.0,2.0,2.0,6.0,2.0,8.0,2.0,6.0,3.0,7.0
O,5.0,10.211326,5.0,8.0,5.0,7.0,8.0,7.0,4.0,8.0,9.0,8.0,3.0,8.0,3.0,8.0
Y,3.0,4.0,4.0,2.0,1.0,4.0,10.0,3.0,7.0,11.0,10.0,5.0,1.0,11.0,2.0,5.0
A,3.0,10.0,5.0,8.0,5.0,8.0,4.0,2.0,2.0,7.0,2.0,8.0,4.0,8.0,4.0,7.0
D,5.0,8.0,8.0,6.0,5.0,8.0,6.0,4.0,7.0,8.0,6.0,7.0,3.0,8.0,3.0,7.0
X,2.0,3.0,4.0,2.0,2.0,7.0,7.0,2.0,7.0,10.0,6.0,8.0,2.0,8.0,3.9234846,8.0
G,7.0,8.0,8.0,8.0,6.0,6.0,9.0,4.0,5.0,7.0,7.0,8.0,6.0,8.0,6.0,8.0
W,4.0,3.0,6.0,2.0,3.0,6.0,11.0,3.0,2.0,7.0,9.0,8.0,8.0,11.0,0.0,8.0
U,3.0,4.0,4.0,3.0,2.0,6.0,8.0,6.0,7.0,7.0,8.0,9.0,3.0,9.0,2.0,8.0
X,4.0,6.0,7.0,4.0,3.0,8.0,7.0,2.0,8.0,11.0,6.0,9.0,3.0,8.0,4.0,8.0
F,6.0,9.0,8.0,7.0,5.0,4.0,10.0,4.0,6.0,11.0,10.0,7.0,2.0,10.0,3.0,6.0
T,1.0,5.0,2.0,3.0,1.0,7.0,13.0,1.0,6.0,7.0,10.0,8.0,0.0,8.0,0.0,8.0
T,5.0,4.0,6.0,3.0,2.0,5.0,11.0,2.0,8.0,12.0,9.0,5.0,2.0,10.0,3.0,4.0
G,4.0,7.0,5.0,5.0,4.0,8.0,6.0,6.0,5.0,8.0,7.0,10.0,3.0,8.0,4.0,8.0
A,3.0,4.0,5.0,5.0,5.0,6.0,9.0,5.0,2.0,7.0,7.0,6.0,8.0,12.0,5.0,7.0
G,2.0,3.0,2.0,1.0,2.0,8.0,7.0,6.0,6.0,6.0,6.0,9.0,2.0,8.0,4.0,9.139303
B,3.0,6.7643785,5.0,4.0,3.0,7.0,8.0,3.0,5.0,10.0,5.0,6.0,3.0,7.0,5.0,8.0
P,1.0,0.0,2.0,0.0,0.0,5.0,11.0,6.0,1.0,9.0,6.0,4.0,1.0,9.0,3.0,8.0
I,1.0,5.0,0.0,6.0,1.0,7.0,7.0,5.0,4.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0
X,3.0,7.0,5.0,5.4062724,4.0,7.0,7.0,4.0,8.0,6.0,5.0,8.0,3.0,8.0,5.0,8.0
F,2.0,3.0,4.0,2.0,1.0,6.0,11.0,3.0,5.0,13.0,7.0,5.0,0.0,9.0,1.982433,8.0
O,2.0,5.0,3.0,4.0,2.0,8.0,7.0,6.0,4.0,9.0,6.0,8.0,2.0,8.0,3.0,8.0
W,2.0,2.0,4.0,1.0,2.0,6.0,11.0,3.0,2.0,8.0,9.0,8.0,3.0,10.0,1.0,7.0
I,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0
L,2.0,7.0,3.0,5.0,1.0,0.0,1.0,5.0,6.0,0.0,0.0,6.0,0.0,8.0,0.0,8.0
F,6.0,10.0,6.0,5.0,5.0,7.0,9.0,2.0,5.0,11.0,7.0,5.0,4.0,10.0,5.1315675,6.0
W,3.0,4.0,4.0,3.0,3.0,4.0,11.0,2.0,2.0,9.0,9.0,8.0,5.0,10.0,1.0,6.0
F,6.0,11.0,9.0,8.0,8.0,8.0,8.0,4.0,6.0,10.0,6.0,7.0,6.0,9.0,7.0,11.0
E,2.0,4.0,4.0,4.0,2.0,6.0,7.0,2.0,8.0,11.0,7.0,9.0,2.0,8.0,4.0,8.0
V,7.0,8.0,7.0,6.0,2.0,2.0,13.0,6.0,4.0,13.0,12.0,6.0,3.0,10.0,1.0,8.0
S,4.0,8.0,5.0,6.0,2.0,7.0,6.0,6.0,9.0,5.0,7.0,10.0,0.0,9.0,9.0,8.0
Q,3.0,6.0,4.0,8.0,5.0,7.0,9.0,4.0,4.0,7.0,10.0,9.0,3.0,9.0,6.0,8.0
U,7.0,11.0,8.0,8.0,4.0,3.0,9.0,5.0,7.0,13.0,12.0,10.0,3.0,9.0,2.0,7.0
C,5.0,7.0,5.0,5.0,4.0,6.0,7.0,6.0,8.0,7.0,5.0,13.0,1.0,8.0,4.0,9.0
D,2.0,5.0,4.0,3.6892896,2.0,10.0,6.0,3.0,8.0,10.0,4.0,5.0,3.0,8.0,3.0,8.0
R,4.0,7.0,5.0,5.0,3.0,8.0,8.0,6.0,6.0,8.0,6.0,9.0,3.0,6.0,6.0,11.0
O,2.0,3.0,3.0,2.0,1.0,8.0,7.0,6.0,4.0,7.0,6.0,8.0,2.0,8.0,2.0,8.0
S,5.0,9.0,7.0,6.0,4.0,8.0,7.0,3.0,7.0,10.0,7.0,7.0,2.0,8.0,6.0,8.0
A,3.0,3.0,5.0,4.0,2.0,6.0,3.0,3.0,2.0,6.0,1.0,8.0,2.0,6.0,2.0,8.0
I,4.0,11.0,4.0,8.0,4.0,8.0,8.0,0.0,8.0,7.0,6.0,8.0,0.0,8.0,3.0,8.0
Z,3.0,4.0,3.0,6.0,3.0,7.0,7.0,5.0,10.0,7.0,6.0,8.0,2.0,8.0,8.0,8.0
V,2.0,7.0,4.0,5.0,1.0,7.0,8.0,4.0,2.0,7.0,14.0,8.0,3.0,10.0,0.0,8.0
H,6.0,9.0,8.0,7.0,7.0,6.0,7.0,3.0,7.0,10.0,9.0,9.0,6.0,9.0,6.0,5.0
K,2.0,0.0,3.0,1.0,1.0,6.0,7.0,6.0,2.0,7.0,6.0,10.0,3.0,8.0,3.0,10.0
U,4.0,5.0,6.0,3.0,3.0,6.0,10.0,5.0,7.0,5.0,10.0,9.0,3.0,9.0,1.0,8.0
G,4.0,9.0,6.0,6.0,7.0,7.0,6.0,5.0,4.0,6.0,5.0,8.0,6.0,8.0,9.0,8.0
K,4.0,10.0,5.0,8.0,2.0,3.0,7.0,9.0,2.0,7.0,6.0,12.0,5.0,8.0,2.0,11.0
A,2.0,7.0,4.0,5.0,2.0,9.0,3.0,1.0,2.0,7.0,2.0,8.0,2.0,6.0,2.0,8.0
U,6.0,10.0,9.0,8.0,7.0,8.0,7.0,6.0,7.0,5.0,7.0,8.0,6.0,9.0,3.0,7.0
G,2.0,2.0,2.0,1.0,1.0,7.0,6.0,5.0,5.0,6.0,6.0,9.0,2.0,9.0,4.0,10.0
Y,3.0,5.0,5.0,6.0,6.0,8.0,6.0,4.0,4.0,7.0,7.0,8.0,3.0,10.0,6.0,7.0
J,4.0,8.0,5.0,5.59318,3.0,8.0,7.0,2.0,6.0,11.0,5.0,8.0,0.0,7.0,1.0,7.0
Z,5.0,9.0,6.0,5.0,4.0,7.0,7.0,2.0,9.0,12.0,7.0,9.0,3.0,7.0,6.0,8.0
W,6.0,9.0,7.0,5.0,3.0,7.0,10.0,3.0,2.0,7.0,9.614989,8.0,8.0,11.0,0.0,8.0
E,6.0,13.0,5.0,7.0,3.0,7.0,8.0,3.0,9.0,10.0,6.0,8.0,2.0,9.0,6.0,7.0
A,3.0,3.0,5.0,3.0,1.0,7.0,4.0,3.0,0.0,6.0,1.0,8.0,2.0,7.0,2.0,7.0
X,3.0,5.0,6.0,4.0,2.0,5.0,8.0,1.0,8.0,10.0,8.0,9.0,2.0,8.0,3.0,7.0
W,6.0,7.0,6.0,4.0,3.0,4.0,10.0,2.0,2.0,10.0,10.0,8.0,8.0,11.0,1.0,7.0
H,1.0,0.0,2.0,1.0,0.0,7.0,7.0,12.0,1.1785825,7.0,6.0,8.0,3.0,8.0,0.0,8.0
S,3.0,8.0,5.0,7.0,5.0,8.0,8.0,6.0,5.0,7.0,7.0,8.0,3.0,9.0,9.0,9.0
O,4.0,7.0,3.0,4.0,2.0,6.0,7.0,6.0,3.0,9.0,6.0,8.0,4.0,8.0,4.0,7.0
Q,7.0,8.0,6.0,9.0,7.0,8.0,6.0,7.0,3.0,8.0,7.0,10.0,6.0,7.0,8.0,6.0
G,4.0,8.0,6.0,6.0,4.0,6.0,6.0,6.0,7.0,6.0,5.0,11.0,2.0,10.0,4.0,8.0
Q,4.0,5.0,5.0,7.0,5.0,8.0,7.0,7.0,3.0,6.0,8.0,9.0,3.0,7.0,5.0,10.0
M,3.0,1.0,5.0,3.0,3.0,9.0,6.0,6.0,5.0,6.0,7.0,6.0,9.0,8.0,3.0,6.0
O,2.0,5.0,4.0,4.0,2.0,8.0,7.0,7.0,6.0,9.0,6.0,6.0,3.0,9.0,3.1012373,8.0
F,5.0,10.0,5.0,8.0,3.0,3.0,10.0,2.0,8.0,11.0,10.0,6.0,0.0,9.0,3.0,4.0
M,4.0,9.0,6.0,7.0,6.0,8.0,6.0,7.0,4.0,7.0,8.0,8.0,9.0,6.0,2.0,8.0
Z,5.0,10.0,5.0,7.0,3.0,8.0,5.0,3.0,8.0,11.0,4.0,9.0,2.0,6.0,7.0,9.0
A,5.0,9.0,5.0,5.0,3.0,11.0,2.0,3.0,2.0,9.0,3.0,10.0,5.0,6.0,4.0,10.0
L,3.0,10.518275,4.0,8.0,1.0,0.0,1.0,4.0,6.0,0.0,0.0,7.0,0.0,8.0,0.0,8.0
F,6.0,8.0,8.0,9.0,9.529976,7.0,8.0,5.0,5.0,7.0,6.0,8.0,6.0,8.0,9.0,6.0
K,5.0,7.0,6.0,5.0,5.0,9.0,6.0,2.0,7.0,11.0,4.0,8.0,3.0,7.0,4.0,8.0
Q,9.0,13.229943,8.0,7.0,5.0,9.0,4.0,4.0,6.0,11.0,4.0,9.0,5.0,6.0,7.0,10.0
E,4.0,8.0,6.0,6.0,5.0,8.0,8.0,5.0,4.0,6.0,7.0,10.0,4.0,8.0,7.0,10.0
N,2.0,5.0,3.0,3.0,3.0,7.0,8.0,6.0,5.0,7.0,5.0,6.0,5.0,9.0,1.0,6.0
Q,3.0,6.0,5.0,8.0,3.0,9.0,9.0,8.0,6.0,5.0,9.0,9.0,3.0,7.0,6.0,9.0
T,1.0,0.0,2.0,0.0,0.0,7.0,14.0,2.0,4.0,7.0,10.0,8.0,0.0,8.0,0.0,8.0
R,4.0,7.0,7.0,5.0,4.0,9.0,7.0,3.0,5.0,9.0,4.0,7.0,3.0,7.0,4.0,9.0
K,4.0,5.0,6.0,4.0,3.0,4.0,7.0,3.0,7.0,11.0,10.0,12.0,3.0,8.0,3.0,6.0
