lettr,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
T,3.0,4.0,5.0,6.0,1.0,6.0,14.0,1.0,6.0,7.0,11.0,8.0,0.0,8.0,0.0,8.0
P,1.0,0.0,2.0,1.0,0.0,5.0,10.0,7.0,1.0,9.0,6.0,4.0,1.0,9.0,3.0,8.0
N,2.0,5.0,3.0,4.0,2.0,7.0,7.0,14.0,2.0,5.0,6.0,8.0,5.0,9.0,0.0,8.0
F,3.0,5.9802375,6.0,4.0,3.0,6.0,11.0,2.0,3.0,10.0,6.0,4.0,5.0,10.0,3.0,5.0
H,1.0,1.0,2.0,1.0,0.0,7.0,7.0,11.0,1.0,7.0,7.0,8.0,3.0,8.0,0.0,8.0
K,4.0,6.0,5.0,4.0,6.0,6.0,7.0,4.0,4.0,6.0,6.0,9.0,5.0,7.0,6.0,5.0
M,6.0,9.0,8.0,8.0,9.837055,8.0,7.0,5.0,3.0,7.0,6.0,8.0,10.850465,9.0,5.0,4.0
U,4.0,9.0,6.0,7.0,4.0,8.0,8.0,5.0,6.0,5.0,9.0,8.0,3.0,8.0,1.0,7.0
B,5.0,11.0,4.0,8.0,5.0,6.0,7.0,9.0,7.0,7.0,5.0,7.0,3.0,9.0,8.0,9.0
D,5.0,9.0,6.0,7.0,5.0,5.0,6.0,6.0,9.0,6.0,5.0,7.0,3.0,7.0,4.0,5.0
E,3.0,5.0,3.0,4.0,2.0,3.0,7.0,6.0,9.0,7.0,6.0,14.0,0.0,8.0,7.0,7.0
L,2.0,5.0,3.0,4.0,1.0,7.0,4.0,1.0,7.0,8.0,2.0,9.0,0.0,7.0,2.0,8.0
Q,5.0,8.0,6.0,10.0,6.0,8.0,5.0,7.0,5.0,9.0,6.0,11.0,3.0,8.0,6.0,7.0
I,1.0,3.0,0.0,5.0,0.0,7.0,7.0,5.0,3.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0
O,5.0,11.0,6.0,8.0,2.0,7.0,8.0,10.0,7.0,7.0,8.0,8.0,3.0,8.0,4.0,8.0
D,4.0,8.0,5.0,6.0,4.0,7.0,7.0,7.0,6.0,7.0,5.0,4.0,3.0,8.0,3.0,7.0
E,7.4712834,12.0,6.0,6.0,4.0,7.0,8.0,5.0,3.0,10.0,6.0,10.0,4.0,9.0,8.0,7.0
P,5.0,6.0,7.0,8.0,8.0,8.0,5.0,5.0,4.0,7.0,6.0,8.0,8.0,6.0,5.0,6.0
E,3.0,5.0,4.0,3.0,3.0,7.0,7.0,2.0,7.0,11.0,6.0,9.0,2.0,8.0,4.0,8.0
N,2.0,5.0,3.0,4.0,2.0,7.0,7.0,12.234741,1.0,6.0,6.0,8.0,4.0,8.0,0.0,8.0
E,4.0,8.0,5.0,6.0,3.0,5.0,8.0,4.0,8.0,12.0,10.0,8.0,3.0,8.0,4.0,5.0
B,4.0,7.0,7.0,6.0,6.0,11.0,5.0,3.0,6.0,10.0,3.0,7.0,3.0,7.0,5.0,12.0
I,2.0,6.0,4.0,5.0,4.0,11.0,6.0,1.0,5.0,8.0,4.0,5.0,2.0,8.0,5.0,6.0
J,1.0,0.0,1.0,1.0,0.0,11.0,3.0,8.0,3.0,12.0,6.0,12.033798,1.0,6.0,0.0,8.0
C,5.0,8.0,6.0,6.0,4.0,8.0,7.0,7.0,7.0,5.0,6.0,10.0,5.0,8.0,5.0,8.0
B,5.0,8.0,6.0,6.0,6.0,7.0,7.0,5.0,4.0,8.0,5.0,6.0,3.0,8.0,6.0,8.0
Q,1.0,0.0,1.0,0.0,0.0,8.0,7.0,6.0,3.0,6.0,6.0,9.0,2.0,8.0,3.0,8.0
W,6.0,11.0,9.0,8.0,5.0,7.0,7.0,4.0,2.0,7.0,8.0,8.0,9.0,9.0,0.0,8.0
Q,2.0,1.0,3.0,2.0,2.0,8.0,8.0,5.0,3.0,6.0,6.0,9.0,2.0,9.0,2.0,8.0
S,3.0,9.0,4.0,7.0,4.0,8.0,6.0,7.0,5.0,7.0,7.0,8.0,2.0,9.0,8.0,8.0
U,4.0,3.0,4.0,3.0,2.0,7.0,7.0,5.0,6.0,5.0,8.0,9.0,5.0,10.0,1.0,7.0
P,4.0,11.0,7.0,8.0,6.0,8.0,8.0,3.0,6.0,12.0,5.0,5.0,5.0,10.0,4.0,8.0
L,2.0,6.0,3.0,4.0,1.0,5.0,3.0,5.0,8.0,2.0,2.0,5.0,1.0,6.0,1.0,6.0
F,3.0,8.0,4.0,6.0,4.0,6.0,10.0,3.0,4.0,10.0,6.0,6.0,3.0,10.0,5.0,6.0
J,4.0,10.0,5.0,8.0,3.0,10.0,4.0,6.0,4.0,14.0,4.0,12.0,1.0,6.0,1.0,6.0
D,3.0,6.0,4.0,4.0,5.0,8.0,8.0,5.0,6.0,7.0,7.0,6.0,2.0,9.0,3.0,8.0
T,4.0,5.0,5.0,4.0,2.0,5.0,11.0,3.0,7.0,12.0,9.0,5.0,2.0,10.0,2.0,5.0
F,5.0,11.0,7.0,9.0,7.0,8.0,9.0,2.0,5.0,10.0,6.0,6.0,4.0,9.0,5.0,7.0
H,3.0,8.0,3.0,5.0,2.0,7.0,7.0,15.0,2.0,7.0,7.0,8.0,3.0,8.0,0.0,8.0
C,3.0,1.0,4.0,3.0,2.0,7.0,7.0,6.0,7.0,7.0,7.0,11.786696,1.0,8.0,4.0,9.0
G,6.0,10.0,7.0,8.0,7.0,7.0,8.0,6.0,2.0,7.0,6.0,9.0,6.0,9.0,9.0,7.0
L,2.0,4.0,3.0,2.0,1.0,9.0,3.0,2.0,7.0,9.0,2.0,10.0,0.0,7.0,2.0,8.0
A,2.0,6.0,4.0,4.0,2.0,12.0,2.0,3.0,2.0,11.0,2.0,9.0,2.0,6.0,2.0,8.0
G,2.0,3.0,4.0,2.0,2.0,7.0,7.0,6.0,5.0,6.0,6.0,9.0,2.0,7.0,4.0,9.0
H,2.0,7.0,3.0,4.0,2.0,7.0,9.0,14.0,2.0,7.0,4.0,8.0,3.0,8.0,0.0,8.0
S,4.0,7.0,5.0,5.0,5.0,8.0,8.0,7.0,4.0,7.0,6.0,7.0,2.0,8.0,8.0,8.0
Q,3.0,4.0,4.0,5.0,3.0,8.0,8.0,5.0,1.0,7.0,8.0,10.0,3.0,9.0,4.0,8.0
M,2.0,1.0,3.0,2.0,1.0,8.0,7.0,9.0,0.0,7.0,9.0,8.0,6.0,6.0,0.0,8.0
Q,6.0,11.0,6.0,8.0,5.0,7.0,4.0,6.0,5.0,9.0,5.0,11.0,5.0,7.0,6.0,7.0
