lettr,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
W,6.0,6.0,8.0,5.0,9.0,8.0,7.0,4.0,5.0,7.0,5.0,8.0,9.627519,10.0,9.0,7.0
Z,3.0,6.0,5.0,4.0,3.0,6.0,8.0,2.0,8.0,11.0,7.0,9.0,2.0,8.0,6.0,5.0
U,4.0,8.0,4.0,6.0,3.0,7.0,6.0,11.033045,4.0,7.0,11.0,8.0,3.0,9.0,0.0,8.0
R,4.0,7.0,6.0,8.0,6.0,7.0,9.0,5.0,7.0,7.0,5.0,8.0,3.0,5.0,7.0,8.0
G,7.0,11.0,8.0,8.0,4.0,8.0,6.0,7.0,9.0,7.0,4.0,12.0,2.0,8.0,6.0,10.0
Z,2.0,1.0,4.0,3.0,3.0,7.0,7.0,5.0,9.0,6.0,6.0,8.0,1.0,8.0,6.0,8.0
P,2.0,1.0,2.0,1.0,1.0,5.0,11.0,7.0,2.0,10.0,6.0,4.0,1.0,9.0,3.0,8.0
K,4.0,6.0,5.0,8.0,3.0,3.0,7.0,7.0,3.0,7.0,7.0,11.0,3.0,8.0,3.0,9.0
J,2.0,5.0,4.0,7.0,1.0,13.0,2.0,8.0,4.0,13.0,4.0,13.0,1.0,6.0,0.0,8.0
Q,7.0,10.0,8.0,8.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,8.0,3.0,8.0,7.0,9.0
S,6.0,11.0,6.0,6.0,3.7093027,10.0,4.0,2.0,5.0,10.0,2.0,8.0,3.0,9.0,5.0,11.0
J,1.0,7.0,3.0,5.0,2.0,8.0,8.0,1.0,6.0,11.0,5.0,7.0,1.0,7.0,1.0,7.0
U,6.0,7.0,5.0,5.0,3.0,3.0,9.0,5.0,6.0,11.0,10.0,9.0,3.0,9.0,1.0,7.0
H,3.0,3.9045284,4.0,4.0,2.0,7.0,8.0,14.0,1.0,7.0,5.0,8.0,3.0,8.0,0.0,8.0
C,6.0,9.0,7.0,7.0,4.0,6.0,8.0,7.0,7.0,11.0,8.0,8.0,3.0,9.0,3.0,7.0
Y,4.0,5.0,5.0,4.0,2.0,5.0,9.0,1.0,8.0,9.0,9.0,6.0,1.0,11.0,3.0,5.0
K,6.0,9.0,8.0,7.0,8.566192,7.0,7.0,3.0,4.0,6.0,6.0,9.0,8.0,6.0,9.0,8.0
U,5.0,7.0,5.0,5.0,5.0,8.0,7.0,6.0,6.0,7.0,7.0,8.0,3.0,8.0,3.0,7.0
W,5.0,9.0,8.0,7.0,4.0,7.0,8.0,4.0,1.0,7.0,9.0,8.0,8.0,10.0,0.0,8.0
Q,1.0,0.0,2.0,1.0,0.0,8.0,7.0,6.0,3.0,6.0,6.0,9.0,2.0,8.0,2.0,8.0
A,3.0,7.0,5.0,6.0,1.0,8.0,6.0,3.0,0.0,7.0,0.0,8.0,2.0,7.0,1.0,8.0
S,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5.0,4.0,7.0,7.0,8.0,0.0,8.0,0.0,8.0
V,6.0,11.0,5.0,6.0,2.0,7.0,11.0,5.0,5.0,8.946905,10.0,5.0,4.0,10.0,2.0,7.0
K,3.0,7.0,5.0,5.0,5.0,7.0,6.0,3.0,4.0,6.0,6.0,9.0,7.0,8.0,7.0,7.0
D,1.0,3.0,4.0,1.5681635,2.0,9.0,8.0,4.0,5.0,11.0,4.0,5.0,2.0,8.0,2.0,8.0
K,5.0,8.0,8.0,6.0,5.0,6.0,10.0,0.0,7.0,10.0,7.0,8.0,3.0,8.0,3.0,7.0
H,4.0,10.0,6.0,8.0,8.0,8.0,8.0,4.0,5.0,6.0,6.0,8.0,6.0,8.0,7.0,6.0
P,2.0,2.0,2.0,2.0,1.0,5.0,9.0,4.0,4.0,10.0,8.0,4.0,1.0,10.0,3.0,7.0
E,7.0,13.0,6.0,8.0,5.0,6.0,8.0,4.0,4.0,10.0,6.0,9.0,3.0,9.0,9.0,11.0
O,4.0,7.0,5.0,6.0,3.0,7.0,5.0,8.0,6.0,8.0,4.0,9.0,3.0,8.0,4.0,8.0
M,5.0,5.0,7.0,3.0,4.0,6.0,6.0,3.0,4.0,9.0,9.0,9.0,7.26926,6.0,3.0,8.0
S,7.0,14.0,7.0,8.0,3.0,7.0,7.0,4.0,4.0,13.0,7.0,8.0,2.0,9.0,3.0,8.0
Y,3.0,4.0,6.0,8.0,8.0,8.100113,5.0,6.0,2.0,6.0,6.0,8.0,4.0,9.0,6.0,10.0
W,6.0,10.0,6.0,6.0,4.0,4.0,8.0,3.0,3.0,10.0,9.0,8.0,8.0,10.0,3.0,7.0
B,4.0,3.0,4.0,4.0,3.0,6.0,7.0,9.0,7.0,7.0,6.0,7.0,2.0,8.0,9.0,9.0
Z,3.0,3.0,4.0,4.0,3.0,7.0,7.0,5.0,9.0,7.0,6.0,8.0,2.0,8.0,6.0,7.0
Q,5.0,10.0,5.0,5.0,3.0,9.0,6.0,5.0,6.0,11.0,6.0,7.0,3.0,8.0,8.673118,9.0
U,5.0,7.0,6.0,5.0,3.0,4.0,8.0,5.0,7.0,11.0,11.0,10.0,3.0,9.0,2.0,7.0
K,4.0,5.0,5.0,8.0,2.0,3.0,7.0,7.0,2.0,7.0,6.0,11.0,3.0,8.0,3.0,11.0
R,2.0,0.0,3.0,2.0,1.0,6.0,9.0,6.0,3.0,7.0,5.0,8.0,2.0,7.0,4.0,8.0
N,4.0,5.0,6.0,3.0,3.0,7.0,10.0,2.0,5.0,10.0,6.0,6.0,5.0,9.0,1.0,7.0
E,6.0,11.0,4.0,6.0,3.0,8.0,7.0,5.0,5.0,10.0,4.0,9.0,3.0,8.0,7.0,11.0
J,7.2604494,8.0,6.0,11.0,4.0,7.0,10.0,4.0,4.0,12.0,6.0,5.0,3.0,9.0,9.0,8.0
Q,4.0,6.0,5.0,8.0,3.0,8.0,7.0,8.0,6.0,7.0,7.0,8.0,3.0,7.0,5.0,9.0
G,2.0,4.0,3.0,2.0,2.0,6.0,6.0,6.0,4.0,9.0,7.0,10.0,2.0,9.0,4.0,10.0
B,6.0,10.0,7.0,7.0,7.0,8.0,7.0,5.0,4.0,7.0,6.0,7.0,5.0,8.0,8.0,7.0
S,4.0,8.0,5.0,6.0,3.0,8.0,7.0,3.0,6.0,10.0,4.0,6.0,2.0,8.0,5.0,9.0
S,6.821453,9.0,8.0,8.0,9.0,9.0,7.0,5.0,5.0,7.0,6.0,8.0,5.0,10.0,9.978645,8.0
R,3.0,5.0,5.0,4.0,3.0,9.0,7.0,3.0,6.0,10.0,3.0,7.0,3.0,7.0,4.0,9.0
H,4.0,3.0,6.0,4.0,4.0,7.0,7.0,5.0,7.0,8.0,6.0,8.0,3.0,8.0,3.0,8.0
G,6.0,9.0,6.0,8.0,5.0,6.0,6.0,6.7665806,6.0,7.0,6.0,12.0,2.0,9.0,4.0,8.0
T,6.0,12.0,5.0,8.0,3.0,4.577808,11.0,3.0,5.0,12.0,9.0,5.0,3.0,10.0,3.0,4.0
Q,2.0,1.0,3.0,2.0,2.0,8.0,9.0,5.0,1.0,5.0,7.0,9.0,2.0,10.0,4.0,9.0
I,3.0,6.0,4.0,5.0,2.0,7.0,7.0,0.0,8.0,13.0,6.0,8.0,0.0,8.0,1.0,8.0
N,5.0,9.0,8.0,7.0,4.0,7.0,9.0,3.0,4.0,9.0,6.0,7.0,6.0,9.0,1.7992576,7.0
O,3.0,5.0,4.0,4.0,3.0,8.0,7.0,7.0,5.0,9.0,7.0,7.0,2.0,8.0,3.0,8.0
M,5.0,8.0,7.0,4.0,3.0,9.0,4.0,2.0,3.0,10.0,4.0,9.0,6.0,6.0,2.0,8.0
Y,3.0,10.0,5.0,8.0,1.0,7.0,10.0,2.0,3.0,6.0,12.0,8.0,2.0,11.0,0.0,8.0
D,2.0,7.0,4.0,5.0,3.0,7.0,7.0,7.0,6.0,7.0,6.0,5.0,3.0,8.0,3.0,7.0
M,6.0,7.0,8.0,5.0,6.0,9.0,6.0,2.0,5.0,9.0,5.0,8.0,7.0,5.0,2.0,8.0
G,4.0,9.0,5.0,6.0,3.0,6.0,7.0,6.0,5.0,8.0,8.0,10.0,2.0,8.0,4.0,8.0
I,1.0,2.0,1.0,2.0,0.0,7.0,7.0,2.0,6.0,12.0,6.0,8.0,0.0,8.0,0.0,8.0
D,1.6341931,3.0,3.0,2.0,2.0,9.0,6.0,3.0,6.0,10.0,4.0,6.0,2.0,8.0,3.0,9.0
R,1.0,0.0,1.0,0.0,0.0,6.0,9.0,7.0,2.0,7.0,5.0,8.0,2.0,7.0,4.0,9.0
M,5.0,11.0,8.0,8.0,8.0,12.892628,6.0,2.0,5.0,9.0,3.0,6.0,8.0,8.0,2.0,9.0
T,2.0,6.0,2.0,4.0,1.0,8.0,14.0,0.0,6.0,6.0,11.0,8.0,0.0,8.0,0.0,8.0
V,3.0,5.0,5.0,3.0,2.0,6.0,10.0,2.0,4.0,10.0,11.0,8.0,2.0,10.0,0.0,8.0
C,6.0,9.0,7.0,7.0,3.0,3.0,8.0,6.0,8.0,11.0,11.0,13.0,1.0,8.0,3.0,6.0
G,4.0,5.0,5.0,4.0,3.0,6.0,7.0,6.0,7.0,7.0,6.0,11.0,2.0,8.0,4.0,9.0
V,5.0,10.0,7.0,8.0,4.0,8.0,11.0,3.0,4.0,5.0,11.0,9.0,3.0,10.0,1.0,9.0
W,5.0,3.0,5.0,3.0,3.0,4.0,11.0,3.0,2.0,9.0,9.0,8.0,6.0,11.0,1.0,6.0
P,3.0,7.0,4.0,4.0,2.0,4.0,12.0,8.0,2.0,10.0,6.0,4.0,1.0,10.0,4.0,8.0
T,6.0,10.0,7.0,8.0,8.0,6.0,8.0,6.0,4.0,8.0,8.0,8.0,6.2123547,9.0,7.0,11.0
Y,3.0,8.0,5.0,6.0,1.0,8.0,11.0,2.0,3.0,6.0,12.0,8.0,1.0,11.0,0.0,8.0
V,5.0,10.0,6.0,7.0,3.0,7.0,10.0,4.0,2.0,9.0,8.0,5.0,4.0,11.0,2.0,8.0
F,5.0,9.0,8.0,7.0,8.0,7.0,9.0,0.0,6.0,10.0,6.0,5.0,5.0,9.0,4.0,4.0
D,4.0,2.0,5.0,4.0,4.0,7.0,7.0,6.0,7.0,6.0,6.0,5.0,2.0,8.0,3.0,7.0
R,3.0,8.0,4.0,6.0,4.0,6.0,7.0,7.0,4.0,6.0,6.0,8.0,3.0,8.0,6.0,9.0
B,5.0,6.0,6.0,4.0,6.0,8.0,8.0,6.0,5.0,7.0,6.0,8.0,6.0,8.0,8.0,4.0
L,4.0,7.0,6.0,5.0,4.0,7.0,7.0,3.0,5.0,7.0,6.0,9.0,4.0,10.0,6.0,7.0
I,1.0,1.0,2.0,1.0,1.0,7.0,7.0,1.0,7.0,7.0,6.0,9.0,0.0,8.0,2.0,8.0
A,3.0,4.0,6.0,7.0,3.0,9.0,2.0,2.0,2.0,8.0,1.0,8.0,2.0,7.0,3.0,9.0
E,5.0,8.0,6.0,6.0,3.0,6.0,8.0,4.0,9.0,11.0,8.0,8.0,3.0,8.0,5.0,6.0
O,4.0,8.0,5.0,6.0,3.0,9.0,6.0,6.0,4.5568075,9.0,5.0,6.0,3.0,8.0,3.0,8.0
N,13.084888,15.0,10.0,8.0,5.0,8.0,11.0,6.0,5.0,4.9075027,6.0,9.0,6.0,11.0,3.0,7.0
T,5.0,8.0,5.0,6.0,3.0,7.0,12.0,3.0,8.0,11.0,9.0,4.0,2.0,11.0,4.0,4.0
D,5.0,13.0,5.0,8.0,4.0,8.0,7.0,3.0,6.0,11.0,4.0,7.0,4.0,8.0,7.0,6.0
R,4.0,9.0,6.0,6.0,5.0,11.0,7.0,2.0,6.0,10.0,2.0,6.0,3.0,6.0,4.0,11.0
X,4.0,8.0,5.0,6.0,3.0,7.0,7.0,5.0,5.0,6.0,6.0,9.0,3.0,8.0,5.0,8.0
J,1.0,3.0,3.0,3.0,1.0,10.0,6.0,3.0,6.0,12.0,5.0,9.0,1.0,7.0,1.0,7.0
V,2.0,4.0,4.0,3.0,2.0,6.0,12.0,3.0,3.0,8.0,11.0,8.0,3.0,10.0,1.0,8.0
C,5.0,10.0,5.0,5.0,2.0,7.0,7.0,5.0,4.0,10.0,7.0,10.0,3.0,9.0,6.0,10.0
V,3.0,5.0,4.0,3.0,1.0,4.0,12.0,3.0,3.0,10.0,11.0,7.0,2.0,10.0,1.0,8.0
G,2.0,5.0,3.0,4.0,3.0,7.0,7.0,6.0,4.0,7.0,6.0,9.0,2.0,8.0,2.0,10.0
U,5.0,7.0,6.0,5.0,4.0,8.0,8.0,6.0,6.0,5.0,9.0,8.0,3.0,8.0,2.0,6.0
L,3.0,7.0,3.0,5.0,1.0,0.0,1.0,6.0,6.0,0.0,0.0,6.0,0.0,8.0,0.0,8.0
F,5.0,12.0,6.0,8.0,5.0,5.0,11.0,4.0,6.0,10.656454,10.0,5.0,2.0,10.0,3.0,5.0
H,4.0,7.0,5.0,3.0,3.0,7.0,7.0,3.0,4.0,10.0,6.0,8.0,3.0,9.0,3.0,8.0
Q,6.0,9.0,7.0,7.0,4.0,8.0,6.0,8.0,8.0,6.0,5.0,10.0,3.0,7.0,7.0,10.0
M,6.0,9.0,8.0,6.0,8.0,6.0,7.0,2.0,4.0,10.0,10.0,10.0,7.0,6.0,2.0,8.0
G,3.0,5.0,4.0,4.0,2.0,7.0,6.0,8.0,8.0,7.0,5.0,11.0,1.0,8.0,5.0,10.0
V,5.0,7.0,5.0,5.0,3.0,3.0,12.620304,3.0,2.0,10.0,11.0,8.0,2.0,11.0,1.0,7.0
P,4.0,3.0,4.0,3.0,3.0,5.0,11.0,5.0,4.0,10.0,8.0,4.0,1.0,10.0,3.0,7.0
K,2.0,6.0,4.0,4.0,4.0,6.0,7.0,4.0,4.0,7.0,6.0,8.0,3.0,8.0,6.0,10.0
W,4.0,5.0,6.0,4.0,3.0,5.0,10.0,2.0,2.0,8.0,9.0,9.0,9.0,12.0,1.0,8.0
I,0.0,7.0,0.0,5.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0
O,4.0,10.0,6.0,8.0,3.0,7.0,7.0,10.626907,7.0,6.0,6.0,6.0,3.0,8.0,4.0,8.0
X,6.0,10.651256,10.0,8.0,6.0,4.0,8.0,2.0,8.0,10.0,12.0,10.0,3.0,8.0,4.0,4.0
Q,4.0,8.0,3.0,4.0,2.0,10.0,3.0,4.0,5.0,11.0,4.0,8.0,3.0,8.0,6.0,11.0
C,4.0,10.0,4.0,8.0,3.0,5.0,8.0,6.0,6.0,12.0,9.0,11.0,2.0,10.0,3.0,8.0
G,3.0,7.0,5.0,5.0,4.0,6.0,6.0,5.0,4.0,7.0,6.0,11.0,2.0,8.0,5.0,9.0
F,5.0,10.0,7.0,8.0,6.0,6.0,10.0,2.0,6.0,12.0,7.0,6.0,1.0,10.0,2.0,7.0
R,4.0,9.0,6.0,8.0,7.0,8.0,8.0,4.0,4.0,6.0,6.0,8.0,6.0,7.0,6.0,7.0
L,2.0,4.0,3.0,2.0,1.0,6.0,4.0,1.0,8.0,7.0,2.0,9.0,0.0,7.0,2.0,7.0
