lettr,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
L,1.0,3.0,2.0,1.0,0.0,7.0,4.0,1.0,7.0,8.0,2.0,10.0,0.0,7.0,2.0,8.0
X,3.0,7.0,4.0,4.0,2.0,7.0,7.0,0.0,7.0,8.0,6.0,9.0,1.0,8.0,4.0,8.0
M,6.0,11.0,7.0,6.0,3.0,5.0,8.0,4.0,5.0,3.9139369,5.0,9.0,8.0,9.0,2.0,7.0
T,5.0,10.0,5.0,8.0,3.0,4.0,12.0,3.0,7.0,12.0,10.0,5.0,1.0,10.0,2.0,5.0
K,5.0,7.0,7.0,6.0,5.0,6.0,7.0,2.0,7.0,10.0,7.0,9.0,4.0,8.0,3.0,8.0
D,5.0,8.0,5.0,6.0,4.0,8.0,6.0,6.0,7.0,10.0,5.0,6.0,3.0,8.0,3.0,8.0
C,4.0,7.0,5.0,5.0,3.0,6.0,7.0,8.0,8.0,9.0,7.0,14.0,2.0,10.0,4.0,9.0
K,4.0,9.0,6.0,7.0,6.0,5.0,6.0,3.0,7.0,7.0,7.0,11.0,4.0,8.0,6.0,9.0
G,6.0,10.0,4.0,4.0,3.0,7.0,7.0,4.0,3.0,8.0,6.1215944,8.0,4.0,10.0,7.0,8.0
U,2.0,3.0,3.0,2.0,2.0,6.0,8.0,5.0,5.0,9.0,9.0,9.0,3.0,9.0,1.0,7.0
R,5.0,9.0,5.0,5.0,4.0,7.0,9.0,4.0,4.0,7.0,4.0,7.0,5.0,5.0,6.0,9.0
S,5.0,6.0,5.0,5.0,3.0,7.0,8.0,4.0,7.0,10.0,6.0,7.0,2.0,8.0,6.0,8.0
H,4.0,10.0,4.0,8.0,4.0,7.0,9.0,12.0,2.0,7.0,5.0,7.0,3.0,8.0,0.0,8.0
Q,5.0,5.0,7.0,7.0,3.0,7.0,4.0,8.0,9.0,6.0,4.0,8.0,3.0,8.0,4.0,8.0
K,3.0,7.0,5.0,4.0,3.0,6.0,9.0,2.0,6.0,10.0,7.0,9.0,3.0,8.0,3.0,7.0
M,7.0,8.0,7.0,4.0,4.0,4.0,10.0,4.0,5.0,4.0,2.0,11.0,9.0,10.0,2.0,7.0
U,4.0,7.0,5.0,5.9786105,5.0,8.0,7.0,6.0,7.0,6.0,7.0,8.0,3.0,8.0,2.0,7.0
R,4.0,7.0,6.0,5.0,5.0,8.0,7.0,5.0,4.0,7.0,5.0,9.0,3.0,8.0,6.0,11.0
Y,5.0,9.0,5.0,6.0,3.0,5.0,10.0,2.0,6.0,9.0,11.0,6.0,1.0,10.0,2.0,8.0
P,3.0,4.0,4.0,5.0,3.0,6.0,10.0,7.0,4.0,10.0,7.0,4.0,1.0,10.0,4.0,7.0
U,6.0,11.0,7.0,8.0,4.0,3.0,9.0,5.0,8.0,12.0,10.0,9.0,3.0,9.0,2.0,6.0
G,3.0,3.0,4.0,4.0,4.0,7.0,5.0,5.0,4.0,6.0,6.0,9.0,2.0,7.0,6.0,10.0
A,2.0,5.0,4.0,4.0,1.0,7.0,4.0,3.0,1.0,6.0,1.0,8.0,2.0,7.0,2.0,6.0
B,2.0,5.0,3.0,3.0,3.0,7.0,7.0,3.0,5.0,7.0,6.0,6.0,2.0,8.0,5.0,8.0
N,4.0,9.0,6.0,6.0,4.0,4.0,10.0,3.0,3.0,11.0,9.0,8.0,4.0,8.0,1.0,7.0
R,4.0,11.0,6.0,8.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,9.0,5.0,9.0,5.0,8.0
G,4.0,6.0,6.0,5.0,4.0,6.4135094,9.0,3.0,6.0,10.0,8.0,7.0,3.0,9.0,5.0,6.0
R,6.0,8.0,8.0,7.0,6.0,6.0,7.0,3.0,6.0,7.0,6.0,9.0,3.0,7.0,5.0,7.0
W,3.0,3.0,4.0,1.0,2.0,4.059281,11.0,3.0,2.0,9.0,8.0,7.0,6.0,11.0,1.0,6.0
C,3.0,7.0,4.0,6.0,2.0,4.0,7.0,6.0,9.0,8.0,6.0,12.0,1.0,9.0,4.0,8.0
Z,5.0,7.0,7.0,10.0,6.0,11.304772,5.0,3.0,5.0,10.0,2.0,7.0,2.0,6.932707,6.0,10.0
M,2.0,2.0,3.0,1.0,1.0,8.0,7.0,5.980114,3.0,6.0,7.0,2.777488,5.0,5.0,1.0,7.0
S,5.0,11.0,6.0,8.0,4.0,8.0,7.0,4.0,7.0,10.0,6.0,6.0,2.0,8.0,6.0,8.0
R,3.0,6.0,5.0,4.0,4.0,9.0,8.0,3.0,4.0,8.0,4.0,8.0,3.0,7.0,4.0,11.0
G,6.0,11.0,7.0,8.0,6.0,7.0,7.0,7.0,3.0,7.0,6.0,12.0,5.0,8.0,6.0,6.0
I,1.0,6.0,0.0,4.0,1.0,7.0,7.0,5.0,3.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0
H,2.0,4.0,3.0,3.0,2.0,7.0,7.0,5.0,5.0,7.0,6.0,8.0,5.0,8.0,4.0,9.0
Y,5.0,6.0,5.0,4.0,2.0,4.0,10.0,2.0,8.0,11.0,10.0,5.0,0.0,10.0,3.0,3.8041131
Z,3.0,6.0,5.0,4.0,3.0,7.0,7.0,2.0,8.0,11.0,6.0,8.0,1.0,9.0,5.0,7.0
X,4.0,9.0,7.0,6.0,5.0,6.0,8.0,2.0,6.0,8.0,7.0,8.0,3.0,8.0,7.0,6.0
K,4.0,7.0,5.0,5.0,3.0,7.0,7.0,6.0,8.0,6.0,6.0,11.0,3.0,8.0,5.0,9.0
F,3.0,5.0,4.0,3.0,2.0,5.0,10.0,2.0,6.0,12.0,8.0,5.0,1.0,10.0,2.0,7.0
G,5.0,7.0,8.0,5.888545,3.0,7.0,7.0,3.0,7.0,10.0,6.0,6.0,3.0,8.0,4.0,8.0
M,4.0,8.0,5.0,6.0,4.0,5.0,7.0,6.0,4.0,6.0,6.0,11.0,6.0,7.0,1.0,9.098005
S,2.0,4.0,3.0,3.0,2.0,8.0,7.0,7.0,5.0,7.0,6.0,8.0,2.0,8.0,8.0,8.0
V,3.0,4.0,4.0,3.0,1.0,5.0,12.0,3.0,2.0,9.0,11.0,7.0,2.0,10.0,0.0,8.0
T,4.0,7.0,5.0,5.0,3.0,7.0,8.0,2.0,8.0,10.0,9.0,9.0,2.0,10.0,3.0,7.0
J,2.0,5.0,3.0,4.0,1.0,10.774369,6.0,1.0,7.0,12.0,3.0,7.0,0.0,7.0,1.0,8.0
S,4.0,7.0,5.0,6.0,3.0,8.0,7.0,7.0,7.0,7.0,5.0,7.0,3.0,8.0,6.0,8.0
B,4.0,7.0,5.0,5.0,4.0,9.0,6.0,3.0,5.0,10.0,5.0,7.0,2.0,8.0,4.0,10.0
P,1.0,2.0,1.0,1.0,0.0,5.0,11.0,5.0,2.0,10.0,6.0,4.0,0.0,9.0,3.0,8.0
Q,4.0,7.0,5.0,7.0,6.0,8.0,9.0,6.0,3.0,5.0,8.0,11.479447,3.0,9.0,6.0,9.0
K,3.0,3.0,4.0,3.0,2.0,5.0,7.0,4.0,8.0,7.0,6.0,11.0,3.0,8.0,4.0,9.0
Q,3.0,3.0,3.0,5.0,2.0,7.0,8.0,5.0,2.0,8.677954,7.0,10.0,2.0,10.0,4.0,8.0
Y,9.0,10.0,7.0,6.0,4.0,4.0,11.0,4.0,4.0,11.0,10.0,6.0,3.0,10.0,4.0,5.0
A,2.0,11.0,5.0,8.0,4.0,10.0,5.0,2.0,3.0,8.0,2.0,6.0,2.0,7.0,4.0,7.0
K,4.0,3.0,5.0,4.0,3.0,7.0,7.0,2.0,6.0,10.0,6.0,9.0,5.0,8.0,3.0,8.0
