lettr,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
R,4.0,8.0,6.0,8.0,9.0,7.0,6.0,4.0,4.0,7.0,5.0,8.0,6.0,8.0,5.0,6.0
R,1.0,3.0,3.0,2.0,1.0,8.0,6.0,2.0,4.0,8.0,4.0,8.0,1.0,6.0,2.0,8.0
B,3.0,7.0,4.0,5.0,3.0,6.0,7.0,8.0,6.0,7.0,7.0,7.0,2.0,9.0,7.0,9.0
T,6.0,9.0,8.0,8.0,8.576651,6.0,8.0,3.0,7.0,9.0,8.0,8.0,3.0,10.0,5.0,6.0
P,5.0,10.0,7.0,7.0,5.0,10.0,7.0,2.0,6.0,13.0,4.0,5.0,4.0,9.0,4.0,8.0
U,4.0,6.0,5.0,4.194901,2.0,4.0,8.0,6.0,7.0,12.0,11.0,9.0,3.0,9.0,0.0,8.0
D,8.0,15.0,7.0,8.0,5.0,7.0,6.0,3.0,6.0,9.0,4.0,7.0,5.0,8.0,8.0,6.0
Y,5.0,11.0,8.0,8.0,5.0,7.0,10.0,2.0,7.0,6.0,12.0,9.0,2.0,11.0,2.0,8.0
B,4.0,9.0,5.0,7.0,5.0,6.0,7.0,8.0,6.0,6.0,5.0,6.0,2.0,8.0,7.0,8.0
I,1.0,5.0,0.0,7.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0
S,5.0,11.0,5.0,6.0,2.0,8.0,5.0,4.0,5.0,10.0,2.0,8.0,2.0,7.0,5.0,8.0
I,1.0,3.0,1.0,1.0,0.0,7.0,8.0,1.0,6.0,12.0,6.0,8.0,0.0,8.0,0.0,8.0
Y,6.0,8.0,8.0,9.0,11.0,8.0,9.0,4.0,2.0,7.0,7.0,8.0,5.0,11.0,9.0,6.0
J,3.0,7.0,5.0,5.0,2.0,7.0,6.0,4.0,6.0,15.0,7.0,12.0,1.0,6.0,1.0,7.0
D,3.0,5.0,4.0,4.0,3.0,7.0,7.0,7.0,8.0,8.0,6.0,6.0,2.0,8.0,4.0,8.0
L,5.0,5.0,5.0,5.0,4.0,5.0,7.0,3.0,5.0,7.0,7.0,9.0,3.0,9.0,8.0,9.0
H,3.0,5.0,4.0,4.0,2.0,9.0,8.0,6.0,6.0,7.0,5.0,8.0,3.0,8.0,2.64531,8.0
F,5.0,11.0,5.0,8.0,4.0,1.3063061,13.0,4.0,5.0,12.0,10.0,6.0,0.0,8.0,2.0,6.0
P,5.0,10.0,7.0,8.0,6.0,3.0,13.0,5.0,2.0,12.0,7.0,3.0,0.0,10.0,3.0,7.0
E,4.0,9.0,5.0,8.0,7.0,8.0,6.0,4.0,4.0,6.0,7.0,8.0,5.0,10.0,8.0,9.0
