lettr,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
D,5.0,9.0,6.0,6.0,5.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,3.0,8.0,4.0,7.0
P,7.0,13.0,6.0,6.0,4.0,10.0,6.0,4.0,4.0,11.0,4.0,6.0,3.0,9.0,6.0,8.0
D,4.0,7.0,5.0,6.0,3.0,6.0,7.0,9.0,8.0,7.0,6.0,6.0,3.0,8.0,4.0,8.0
B,4.0,7.0,5.0,4.0,3.9780502,8.0,6.0,4.0,7.0,9.0,4.0,8.0,3.0,6.0,8.0,9.0
J,4.0,10.0,5.0,7.0,2.0,5.0,7.0,3.0,4.0,9.0,6.0,8.0,3.0,8.0,4.0,8.0
N,6.0,9.0,6.0,7.0,4.0,6.0,9.0,4.0,4.0,6.0,6.0,10.0,5.0,10.0,1.0,8.0
D,4.0,8.0,7.0,6.0,6.0,9.0,7.0,5.0,6.0,10.0,5.0,6.0,3.0,8.0,3.0,9.0
X,3.0,5.0,5.0,4.0,3.0,10.0,7.0,2.0,6.0,9.0,4.0,6.0,3.0,8.0,3.0,8.0
E,3.0,7.0,5.0,4.0,5.0,6.0,7.0,2.0,5.0,10.0,6.0,10.0,3.0,8.0,4.0,8.0
Q,7.0,14.0,7.0,8.0,5.0,9.0,6.0,5.1098304,6.0,11.0,3.0,8.0,4.0,8.0,5.0,10.0
Z,3.0,4.0,3.0,3.0,2.0,7.0,7.0,5.0,10.0,6.0,6.0,8.0,1.0,8.0,7.0,8.0
I,3.0,10.0,4.0,8.0,2.0,8.0,7.0,0.0,8.0,14.0,6.0,9.0,0.0,8.0,1.0,8.0
G,4.0,9.0,6.0,6.0,2.0,8.0,5.0,8.0,9.0,6.0,6.0,10.0,1.0,8.0,6.0,11.0
T,3.0,8.0,5.0,6.0,3.0,7.0,11.0,2.0,9.0,7.0,11.0,8.0,1.0,11.0,1.0,8.0
R,3.0,5.0,5.0,4.0,4.0,6.0,7.0,4.0,6.0,7.0,6.0,7.0,3.0,10.0,5.0,6.0
I,3.0,10.0,4.0,8.0,3.0,7.0,7.0,0.0,7.0,12.0,6.0,8.0,0.0,8.0,1.0,8.0
G,4.0,8.0,6.0,6.0,4.0,8.0,7.0,7.0,5.0,6.0,5.0,8.0,3.0,7.0,6.0,11.0
J,1.0,3.0,2.0,1.0,0.0,9.0,5.0,4.0,4.0,14.0,5.0,10.0,0.0,7.0,0.0,8.0
R,2.0,3.0,2.0,1.0,1.0,8.0,7.0,7.0,2.0,8.0,6.0,7.0,2.0,7.0,6.0,9.0
K,5.0,10.0,6.0,6.0,3.0,6.0,7.0,4.0,7.0,6.0,6.0,11.0,3.0,8.0,5.0,8.0
M,6.0,11.0,9.0,8.0,10.0,7.0,7.0,5.0,4.0,7.0,7.0,8.0,9.0,7.0,7.0,6.0
Q,4.0,5.0,5.0,4.0,4.0,7.0,6.0,5.0,6.0,7.0,6.077258,8.0,5.0,6.0,8.0,8.0
N,2.0,0.0,2.1311805,1.0,1.0,7.0,7.0,13.67827,0.0,6.0,6.0,8.0,5.0,8.0,0.0,8.0
E,3.0,8.0,3.0,6.0,3.0,4.0,7.0,5.0,9.0,7.0,6.0,12.0,0.0,8.0,6.0,8.0
S,2.0,5.0,4.0,4.0,2.0,9.0,5.0,3.0,6.0,11.0,4.0,8.0,1.0,9.0,4.0,9.0
A,4.0,7.0,6.0,5.0,3.0,10.0,3.0,4.0,3.0,10.0,3.0,11.0,5.0,5.0,6.0,9.0
Q,4.0,10.0,6.0,8.0,6.0,10.0,2.0,4.0,4.0,9.0,3.611019,8.0,3.0,8.0,4.0,10.0
K,3.0,6.0,5.0,4.0,3.0,7.0,7.0,2.0,5.0,10.0,5.0,9.0,3.0,8.0,3.0,8.0
G,1.0,0.0,1.4129487,1.0,0.0,8.0,7.0,5.0,4.0,6.0,6.0,8.0,2.0,8.0,5.0,9.158446
C,6.0,10.0,6.0,8.0,3.0,5.0,8.0,7.0,10.0,8.0,7.0,12.0,1.0,9.0,4.0,9.0
D,2.0,4.0,3.0,3.0,2.0,8.0,6.0,4.0,6.0,11.0,5.0,5.0,3.0,8.0,3.0,8.0
H,4.0,6.0,6.0,5.0,5.0,7.0,7.0,4.0,6.0,7.0,6.0,8.0,6.0,8.0,4.0,8.0
J,3.0,7.0,5.0,8.0,4.0,7.0,12.0,2.0,3.0,10.0,8.0,6.0,2.0,11.0,7.0,5.0
I,1.0,3.0,1.0,1.0,0.0,8.0,7.0,0.0,6.0,12.0,6.0,8.0,0.0,8.0,0.0,8.0
S,5.0,11.0,7.0,8.0,8.0,7.0,6.0,4.0,4.0,7.0,6.0,8.0,3.0,8.0,14.619007,7.0
S,9.0,13.0,8.0,8.0,4.0,8.0,7.0,4.0,4.0,12.0,7.5189185,8.0,3.0,9.0,4.0,8.0
B,4.0,10.0,7.0,7.0,8.0,8.0,8.0,5.0,6.0,6.0,6.0,6.0,3.0,7.0,9.0,8.0
Y,6.0,10.0,7.0,8.0,4.0,3.0,11.0,2.0,7.0,11.0,11.0,6.0,1.0,11.0,2.0,6.0
F,5.0,7.0,7.0,6.0,2.0,5.0,12.0,3.0,6.0,14.0,6.0,4.0,2.0,10.0,3.0,7.0
F,2.0,3.0,3.623878,3.0,1.0,6.0,11.0,3.0,5.0,13.168519,6.0,4.0,1.0,10.0,1.0,8.0
D,5.0,5.0,4.0,6.0,3.0,6.0,8.0,6.0,6.0,7.0,6.0,5.0,3.0,8.0,3.0,8.0
U,4.0,4.0,4.0,7.0,2.0,7.0,6.0,14.0,5.0,7.0,11.0,8.0,3.0,9.0,0.0,8.0
A,2.0,4.0,5.0,3.0,2.0,7.0,3.0,2.0,2.0,6.0,2.0,8.0,2.0,6.0,3.0,6.0
N,2.0,2.0,3.0,1.0,1.0,8.0,8.0,3.0,4.0,9.0,6.0,6.0,4.0,9.0,1.0,6.0
T,1.0,0.0,2.0,1.0,0.0,8.0,12.0,2.0,4.0,6.0,10.0,8.0,0.0,8.0,0.0,8.0
V,8.0,12.0,7.0,6.0,4.0,7.0,7.0,5.0,5.0,6.0,6.0,8.0,6.0,12.265116,3.32644,8.0
B,5.0,9.0,8.0,6.0,8.0,8.0,6.0,6.0,5.0,7.0,6.0,7.0,6.0,7.0,9.757512,5.0
G,5.0,7.0,7.0,5.0,7.0,7.0,8.0,6.0,3.0,7.0,7.0,9.0,6.0,9.0,7.0,8.0
V,3.0,4.0,5.0,3.0,2.0,6.0,12.0,2.0,3.0,7.0,11.0,8.0,2.0,10.0,1.0,8.0
R,4.0,5.0,5.0,8.0,3.0,6.0,10.0,10.0,4.0,7.0,5.0,8.0,3.0,7.0,7.0,11.0
U,6.0,4.0,5.0,8.0,3.0,7.0,4.0,15.0,6.0,7.0,14.683686,8.0,3.0,10.0,0.0,8.0
F,6.0,9.0,8.0,6.0,4.0,6.0,7.0,4.0,6.0,11.0,7.0,9.0,3.0,9.0,4.0,7.0
R,4.0,7.0,7.0,5.0,9.0,7.0,7.0,3.0,3.0,7.0,6.0,7.0,6.0,8.0,9.0,4.0
Z,4.0,10.0,5.0,7.0,4.0,9.491664,7.0,5.0,10.0,7.0,6.0,6.0,1.0,7.0,7.0,8.0
N,4.0,9.0,5.0,6.0,4.0,7.0,7.0,14.0,2.0,5.0,6.0,8.0,6.0,8.0,0.0,8.0
S,4.0,5.0,6.0,5.0,3.0,9.0,7.0,3.0,6.0,7.0,8.0,8.0,2.2975852,10.0,5.0,8.0
M,5.0,8.0,6.0,6.0,3.0,8.0,7.0,13.0,2.0,7.0,9.0,8.0,8.0,5.0,0.0,8.0
N,8.0,10.0,11.0,8.0,9.548598,7.0,10.0,5.0,4.0,7.0,6.0,8.0,8.0,8.0,6.0,5.0
C,1.0,0.0,1.0,1.0,0.0,6.0,7.0,6.0,8.0,7.0,6.0,12.0,0.0,8.0,4.0,9.0
F,4.0,11.0,5.0,8.0,3.0,1.0,14.0,5.0,4.0,12.0,10.0,7.0,0.0,8.0,3.0,6.0
W,6.0,10.0,8.0,8.0,8.0,4.0,11.0,3.0,2.0,9.0,9.0,9.0,6.0,11.0,1.0,9.0
