lettr,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
K,8.475209,15.0,8.0,8.0,5.0,5.0,7.0,3.0,5.0,10.0,8.0,10.0,6.0,7.0,3.0,6.0
B,2.0,7.0,4.0,6.0,3.0,8.0,7.0,3.0,5.0,10.0,5.0,6.0,2.0,8.0,4.0,10.0
K,5.0,10.0,6.0,7.0,2.0,3.35145,7.0,8.0,2.0,7.0,7.0,12.0,3.0,8.0,2.0,11.0
D,5.0,10.0,7.0,7.0,3.0,8.0,7.0,6.0,9.0,10.0,5.0,5.0,3.0,8.0,3.0,8.0
Y,5.0,11.0,8.0,8.0,4.0,8.0,9.0,1.0,6.0,3.856166,11.0,9.0,2.0,11.0,2.0,8.0
O,6.0,9.0,5.0,4.0,2.0,11.0,4.0,6.0,5.0,10.0,2.0,10.0,5.0,8.0,4.0,9.0
S,5.0,7.0,6.0,6.0,6.5764823,8.0,8.0,4.0,5.0,7.0,7.0,8.0,4.0,9.0,9.0,9.0
P,4.0,7.0,6.0,7.0,7.0,8.0,8.0,4.0,2.0,7.0,8.0,8.0,6.0,10.0,4.0,7.0
W,4.0,4.0,6.0,3.0,3.0,4.0,11.0,3.0,2.0,9.0,9.0,8.0,6.0,11.0,1.0,7.0
D,4.0,9.0,5.0,7.0,4.0,7.0,7.0,6.0,7.0,9.0,8.0,5.0,3.0,8.0,3.0,7.0
G,4.0,5.0,5.0,4.0,3.0,7.0,7.0,6.0,6.0,8.0,6.0,11.0,2.0,9.0,4.0,8.0
S,5.0,8.0,6.0,6.0,3.0,7.0,8.0,2.0,6.0,9.0,5.0,7.0,2.0,7.0,5.0,8.0
T,2.0,5.0,4.0,4.0,1.0,6.0,12.0,1.0,7.0,9.0,10.0,8.0,1.0,10.0,1.0,8.0
H,6.0,10.0,9.0,8.0,7.0,8.0,7.0,3.0,6.0,10.0,6.0,9.0,3.0,8.0,3.0,8.0
W,3.0,6.0,4.0,4.0,3.0,8.0,9.0,3.0,2.0,7.0,9.0,8.0,7.0,10.0,0.0,8.0
H,5.0,8.0,6.0,6.0,5.0,7.0,8.0,3.0,6.0,10.0,6.0,8.0,3.0,8.0,3.0,8.0
I,2.0,3.0,2.0,2.0,1.0,7.0,7.0,1.0,8.0,7.0,6.0,8.0,0.0,8.0,3.0,8.0
R,3.0,3.0,5.0,5.0,3.0,6.0,9.0,6.0,5.0,7.0,5.0,8.0,3.0,7.0,5.0,10.0
G,2.0,5.0,4.0,3.0,2.0,7.0,6.0,6.0,6.0,7.0,7.0,10.0,2.0,8.465211,4.0,9.0
R,4.0,10.0,6.0,8.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,3.0,8.0,5.0,9.0
X,4.0,8.0,6.0,6.0,2.0,8.0,7.0,4.0,9.281026,6.0,6.0,7.0,3.0,8.0,7.0,8.0
H,6.0,9.0,6.0,4.0,3.0,5.0,10.0,4.0,6.0,10.0,9.0,7.0,4.0,9.0,3.0,6.0
O,6.0,9.0,7.0,8.0,3.0,7.0,8.0,8.0,8.0,7.0,6.0,8.0,4.0,8.0,4.0,8.0
B,3.0,9.0,3.0,7.0,4.0,6.0,7.0,9.0,5.0,7.0,5.0,7.0,2.0,8.0,7.0,9.0
Q,3.0,6.0,4.0,6.0,4.0,8.0,7.0,7.0,4.0,6.0,9.0,8.0,3.0,7.0,6.0,9.0
