lettr,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
E,3.0,6.0,3.0,4.0,2.0,3.0,8.0,6.0,9.933748,7.0,6.0,14.0,0.0,8.0,6.0,8.0
L,4.0,8.0,5.0,6.0,3.0,3.0,6.0,2.0,8.0,6.0,2.0,11.0,0.0,8.0,3.0,6.0
G,4.0,10.0,6.0,7.0,5.0,8.0,5.0,5.0,4.0,7.0,5.0,6.0,4.0,7.0,4.0,8.0
O,2.9214363,3.0,3.0,3.0,2.0,7.0,7.0,7.0,4.0,7.0,6.0,8.0,2.0,8.0,3.0,8.0
Q,5.0,7.0,7.0,9.0,8.0,8.0,11.0,4.0,2.0,5.0,7.0,10.0,7.0,12.0,6.0,11.0
Y,2.0,8.0,4.0,5.0,1.0,6.0,9.493153,1.0,3.0,7.0,12.0,8.0,1.0,10.0,0.0,8.0
A,4.0,9.0,7.0,7.0,4.0,9.0,2.0,2.0,2.0,9.0,2.0,9.0,3.0,6.0,4.0,8.0
V,3.0,4.0,4.0,3.0,1.0,4.0,12.0,3.0,2.0,10.0,11.0,7.0,3.0,10.0,1.0,8.0
A,3.0,4.0,5.0,3.0,2.0,7.0,2.0,2.0,2.0,6.0,2.0,8.0,2.0,5.0,1.0,7.0
T,3.0,10.0,4.0,7.0,1.0,9.0,14.0,0.0,6.0,5.0,11.0,8.0,0.0,8.0,0.0,8.0
I,5.0,9.0,6.0,7.0,4.0,7.0,7.0,0.0,8.0,13.0,6.0,8.0,0.0,8.0,2.0,8.0
G,6.0,10.0,7.0,8.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,9.0,2.0,9.0,4.0,8.0
L,2.0,5.0,4.0,4.0,2.0,6.0,4.643832,1.0,8.0,8.0,2.0,10.0,0.0,7.0,2.0,8.0
M,6.0,9.0,9.0,8.0,11.450214,7.0,7.0,4.0,3.0,7.0,5.0,8.0,13.459236,9.0,5.0,6.0
S,2.0,2.0,3.0,3.0,2.0,7.0,7.0,5.0,5.0,7.0,6.0,7.0,3.0,8.0,4.0,6.0
S,5.0,10.0,7.0,8.0,9.0,7.0,7.0,3.0,2.0,7.0,5.0,6.0,3.0,8.0,14.963873,4.0
Z,1.0,3.0,2.0,1.0,1.0,8.0,7.0,3.0,8.0,9.0,6.0,8.0,1.0,8.0,5.0,7.0
Q,7.0,11.0,6.0,6.0,4.0,11.0,4.0,4.0,6.0,10.0,3.0,8.0,4.0,8.0,7.0,12.095626
O,4.0,10.0,5.0,8.0,4.0,7.0,7.0,8.0,6.0,7.0,7.0,7.0,3.0,8.0,4.0,8.0
J,5.0,8.0,4.0,13.670857,4.0,9.0,7.0,3.0,4.0,11.0,4.0,5.0,3.0,9.0,6.0,10.0
W,7.0,14.0,8.0,8.0,6.0,9.0,4.0,5.0,2.0,7.0,5.0,8.0,8.0,10.0,3.0,6.0
