carat,cut,color,clarity,depth,table,price,x,y,z
0.41,Very Good,D,SI1,62.8,59.0,966.807,4.66,4.73,2.96
1.2913492,Good,G,VS2,65.82461,59.0,8408.162,6.7594085,6.73,4.56895
0.26,Ideal,G,IF,62.0,56.0,787.99695,4.23,4.1422677,2.568803
0.78,Ideal,F,SI2,60.3,57.0,3401.5688,6.0907955,6.13222,3.57
1.52,Very Good,I,VS1,62.0,59.0,9003.201,7.25,7.385679,4.57
0.28,Ideal,I,IF,62.3,55.0,562.5069,4.1997027,4.27,2.65
1.25,Ideal,H,SI2,62.4,57.0,5106.392,6.888497,6.9671073,4.36
2.04,Very Good,I,SI2,63.4,58.0,16559.07,8.16679,8.121818,5.0860543
0.43907622,Very Good,D,SI1,59.1,60.0,706.3918,5.0681725,5.07,2.93
0.31,Premium,E,VS1,61.4,59.0,870.22925,4.35,4.33,2.66
0.36,Ideal,I,SI1,60.4,57.0,459.02335,4.6,4.67,2.76
0.51,Ideal,J,VS1,61.3,56.0,1024.965,5.13,5.14,3.14
0.75,Ideal,I,SI2,62.3,55.0,3023.337,5.8485556,5.92,3.6310692
1.5102825,Premium,F,SI1,62.0,58.0,13316.178,7.3313336,7.3368325,4.55
1.53,Premium,G,SI2,60.0,57.0,8325.609,7.513544,7.52,4.57
0.31,Very Good,G,VS2,62.9,58.0,683.56146,4.35,4.32,2.71
0.42,Ideal,F,VS1,62.2,56.0,1387.1945,4.8805637,4.9,3.01
0.52,Good,E,VS2,61.6,58.0,1844.6852,5.12,5.17,3.181762
1.4965458,Ideal,G,VS1,61.3,59.0,13535.585,7.203966,7.32,4.41
0.51,Very Good,F,VVS2,61.2,61.0,1888.8107,5.1425886,5.2,3.21
1.409246,Ideal,I,SI1,62.3,54.0,8317.573,7.128386,7.143183,4.49
0.51,Ideal,E,VS2,61.1,56.0,1212.7692,5.17,5.164641,3.16
0.5410893,Ideal,D,VS1,61.2,56.0,2100.188,5.3,5.413954,3.28
0.71,Premium,F,SI1,61.2,59.0,2190.7607,5.68,5.727351,3.51
0.42,Good,D,VS2,62.9,59.0,965.7723,4.79,4.8069477,3.11
0.23,Ideal,E,VVS1,62.3,56.0,505.10168,3.8930526,3.907578,2.4171107
0.62,Ideal,D,SI1,61.0,56.0,2058.3694,5.6255345,5.7030363,3.3309515
0.41,Good,D,SI2,61.5,61.0,772.536,4.82721,4.8164907,2.98
0.33,Ideal,F,VS2,62.3,56.0,740.2586,4.45,4.47,2.77
1.03,Very Good,H,SI1,61.9,57.0,5184.92,6.48,6.540934,4.03
0.76,Ideal,E,VVS2,63.3,57.0,3880.4492,5.83,5.81,3.74
1.01,Good,G,VS2,61.0,58.0,6874.9673,6.4202557,6.5,3.97
0.53,Ideal,E,VVS1,62.0,56.0,2021.0004,5.14,5.1593356,3.18
0.33,Ideal,D,SI1,61.3,55.0,714.69586,4.45,4.44,2.73
0.54,Premium,J,VS2,61.7,60.0,1227.9451,5.28,5.21,3.24
0.32497594,Ideal,E,IF,61.4,57.0,1022.06696,4.48,4.44,2.72
0.56,Ideal,H,SI2,62.1,55.0,1796.7374,5.4739366,5.490925,3.5
0.9982162,Premium,G,VS1,61.7,57.0,4247.8667,6.221479,6.1263647,3.8
0.71,Ideal,I,SI2,61.3,56.0,1866.4603,5.746403,5.8,3.56
0.31,Very Good,H,SI1,62.9,57.0,471.5145,4.31,4.31,2.71
0.34,Premium,D,VVS2,60.58292,59.0,1814.9631,4.68,4.59,2.75
0.36,Premium,E,VS1,58.2,58.0,1184.3887,4.83,4.7579093,2.75
0.38,Ideal,E,VVS2,61.9,56.0,1445.1095,4.694578,4.6772285,2.91
0.43,Ideal,E,VS2,61.8,54.0,1180.9672,4.8395395,4.8977814,3.0081072
0.75,Very Good,E,VVS2,59.2,59.57761,5313.045,6.086885,6.07,3.54
1.13,Premium,E,VS2,62.45067,58.0,6665.1235,6.64,6.61,4.12
0.31,Ideal,F,VS1,62.7,54.0,765.8216,4.35,4.36,2.72
0.31,Good,E,VS1,62.1,62.0,718.1528,4.38,4.38,2.72
0.54,Ideal,H,IF,60.13703,56.0,2341.4685,5.309991,5.463681,3.24
0.4,Premium,F,SI1,60.5,59.0,863.0045,4.8190246,4.72,2.88
0.31,Ideal,D,SI2,62.6,56.0,625.57184,4.33,4.32,2.7
1.0970982,Ideal,E,SI1,62.2,58.0,5898.787,6.59,6.6,4.1
1.17,Premium,I,SI2,61.7,58.0,4672.7856,6.7267632,6.72,4.16
0.31,Ideal,E,VVS2,61.8,56.0,788.3435,4.32,4.34,2.68
