carat,cut,color,clarity,depth,table,price,x,y,z
1.04,Ideal,F,VS2,61.2,56.0,7567.458,6.53,6.5986557,4.01
0.7,Premium,D,VS1,59.3,57.0,3210.5552,5.718366,5.639168,3.32
1.26,Very Good,J,SI2,61.3,58.0,4157.3335,6.98,7.010641,4.27
0.58,Very Good,J,SI1,61.9,56.0,1196.9268,5.2601786,5.29,3.27
0.6844328,Fair,E,VS2,64.60064,59.0,2277.8125,5.364602,5.44,3.549194
1.18,Premium,J,SI1,62.9,58.0,4309.7603,6.64,6.59,4.15
1.3171406,Very Good,G,VS2,60.4,60.0,13387.468,7.302346,7.162458,4.28
0.41,Good,D,VVS2,63.5,57.0,1239.2485,4.71,4.72,2.98
0.7,Ideal,E,VS1,61.3,56.0,2802.696,5.67,5.64,3.48
0.27238584,Premium,E,VVS2,61.5,58.0,790.7956,4.1257534,4.141635,2.55
0.51,Ideal,E,VS2,62.5,55.0,1721.5236,5.15,5.12,3.21
0.34,Premium,F,I1,62.9,59.0,595.161,4.43,4.405373,2.77
0.32,Ideal,G,VVS1,62.4,54.0,1060.9955,4.42,4.38,2.75
1.01,Ideal,E,VS1,61.5,60.0,7750.7964,6.43,6.44,3.9724424
1.192176,Ideal,H,SI1,62.1,56.0,5851.1807,6.7408357,6.81,4.21
0.53,Ideal,G,VS1,61.2,55.0,1814.1609,5.217495,5.2304564,3.2
0.24,Ideal,G,VVS2,62.39516,57.0,479.4133,3.9590588,4.008005,2.4832416
0.5668562,Very Good,D,VS1,62.6,59.0,2732.3306,5.2254305,5.26,3.3
0.32,Ideal,F,VVS2,60.9,56.0,985.6337,4.45,4.46,2.72
0.32,Ideal,G,VVS1,62.0,55.0,1062.1921,4.41,4.3579555,2.72
0.71,Ideal,E,VS2,60.08822,57.0,2662.3203,5.793335,5.772278,3.52
1.2631091,Premium,F,SI2,61.8,59.0,7132.0195,6.9,6.9599504,4.26
1.06,Premium,E,SI1,61.9,59.0,5146.06,6.5,6.48,4.02
0.60714686,Premium,I,VS2,60.2,59.0,1554.7483,5.62,5.5471044,3.28
0.5415939,Ideal,D,VVS1,61.6,57.0,2779.466,5.3161516,5.28,3.2536633
0.54,Ideal,H,VVS2,61.6,57.0,2036.4028,5.25,5.2811217,3.24
0.3,Very Good,H,SI2,62.6,61.0,392.6912,4.27,4.3,2.6766524
0.36,Good,J,VS2,63.887577,56.0,434.0073,4.46,4.46,2.84
0.8,Fair,H,VS2,67.11491,64.0,3034.6978,5.79,5.78,3.8682938
2.0837862,Premium,I,SI1,62.1,59.0,15254.83,8.171051,8.176856,5.072561
0.35,Premium,E,VS2,60.1,59.0,765.71533,4.531084,4.577913,2.75
1.01,Ideal,D,SI1,61.8,56.0,6321.1357,6.44,6.47,3.99
0.32,Ideal,G,VVS1,62.2,55.0,792.414,4.4,4.44,2.76
0.5,Premium,F,I1,62.6,58.0,699.0497,5.06,5.07,3.16
