carat,cut,color,clarity,depth,table,price,x,y,z
1.53,Premium,H,SI2,59.2,61.6,4273,7.1,8.32,3.87
1.13,Very Good,F,VS1,62.3,53.8,10710,6.91,6.91,4.11
0.53,Very Good,H,VS2,62.1,53.7,816,5.28,5.12,3.25
0.55,Ideal,F,VS2,62.3,57.0,4079,5.17,5.13,3.33
2.02,Ideal,H,SI1,62.3,55.0,15587,8.04,7.92,5.0
0.44,Very Good,E,SI1,59.7,58.0,742,4.85,6.49,3.79
0.29,Premium,D,VVS2,61.2,58.0,553,4.42,4.37,2.7
1.17,Ideal,F,VVS1,61.9,56.0,6595,6.89,6.71,4.14
0.32,Ideal,F,IF,61.8,56.0,1538,4.4,4.43,2.72
1.11,Ideal,G,I1,62.0,55.0,13072,6.87,6.55,4.24
0.25,Premium,E,SI2,60.4,60.0,705,4.64,4.32,2.56
1.01,Very Good,H,VVS2,58.4,61.0,12795,6.26,6.44,3.89
0.89,Ideal,F,SI2,61.9,53.9,3683,6.44,6.21,3.95
0.27,Ideal,F,VS1,62.4,53.7,405,4.06,4.36,2.52
1.2,Ideal,D,SI2,62.0,55.0,7257,6.9,7.03,4.34
0.71,Ideal,H,SI1,62.4,57.0,2187,5.67,5.85,3.63
1.02,Fair,I,SI1,64.9,60.0,4190,6.09,6.2,4.22
1.13,Premium,F,SI2,62.6,58.0,3443,6.26,6.61,3.99
0.36,Premium,D,VVS2,61.7,58.0,861,4.57,4.59,2.81
0.26,Ideal,D,VVS1,61.5,56.0,592,4.26,4.27,2.72
0.28,Very Good,J,SI1,61.5,57.0,605,4.45,4.63,2.75
1.02,Good,H,VS1,57.0,62.2,4561,6.82,6.17,3.88
1.18,Premium,H,SI1,62.4,59.0,4327,6.49,6.92,4.17
1.18,Fair,F,SI2,64.8,55.0,3273,6.41,6.68,4.26
1.31,Fair,F,I1,59.2,61.1,6690,6.79,7.37,4.33
1.19,Ideal,G,VVS1,61.4,55.0,6657,6.67,7.6,4.37
0.55,Ideal,G,IF,61.0,56.0,2336,5.13,5.1,3.21
1.94,Premium,H,SI2,62.2,65.6,11975,7.72,7.72,4.82
1.09,Premium,H,SI2,62.5,59.0,4111,6.51,6.48,4.3
0.71,Premium,E,SI1,62.1,58.0,3959,5.65,5.65,3.64
0.93,Good,H,SI2,63.6,58.0,2205,5.82,6.08,3.58
1.2,Very Good,H,VS1,58.8,62.8,6484,6.81,6.85,4.33
1.02,Premium,F,SI2,62.6,58.0,4910,6.74,6.84,4.05
2.02,Premium,J,SI2,62.4,61.0,10248,7.91,8.04,5.09
1.37,Premium,F,VS2,62.3,58.0,8406,7.19,7.21,4.53
0.38,Ideal,E,VVS2,61.9,56.0,875,4.63,4.83,2.94
0.66,Very Good,D,SI1,62.6,57.0,2714,5.65,5.6,3.59
1.26,Fair,D,SI1,65.0,58.0,18806,8.17,8.23,5.35
0.53,Good,D,VS2,63.8,56.0,1544,4.36,5.15,3.19
0.52,Premium,F,SI1,62.7,58.0,1919,5.15,5.01,3.31
0.24,Very Good,D,SI1,63.4,58.0,411,4.21,4.3,2.58
1.17,Very Good,J,VS1,62.5,55.0,7615,6.74,6.59,4.14
1.23,Good,H,VS1,62.9,57.0,7251,6.97,6.01,4.33
1.01,Premium,G,SI1,64.4,61.0,5280,6.42,6.05,3.88
0.26,Ideal,E,VVS2,62.9,56.0,495,3.76,4.12,2.62
0.4,Good,F,SI1,64.0,57.0,6227,4.82,6.81,2.94
0.4,Fair,F,VS1,67.2,62.5,1662,4.96,6.31,2.93
0.91,Fair,H,SI1,65.8,57.0,4457,5.87,6.04,4.03
0.67,Ideal,I,SI1,62.6,61.0,2132,5.68,5.61,3.51
0.52,Very Good,F,SI1,61.8,56.0,754,5.33,5.07,2.89
1.25,Ideal,F,VS2,62.2,53.8,10034,7.09,7.51,4.32
0.28,Ideal,G,VVS1,62.6,56.0,808,3.97,4.38,2.77
2.03,Very Good,J,SI1,62.1,62.9,7996,7.93,7.81,4.85
0.54,Premium,E,SI1,60.7,60.0,1282,4.54,5.28,3.29
0.93,Good,J,VS2,65.1,55.0,3657,6.07,6.23,4.08
0.29,Ideal,H,IF,61.4,56.0,1303,4.42,4.39,2.78
0.25,Good,E,VS2,61.2,57.0,815,4.61,4.45,2.52
0.59,Good,D,SI1,66.2,55.0,2569,5.11,5.2,3.24
0.71,Very Good,F,VS1,62.4,58.0,2032,5.71,5.7,3.65
0.5,Premium,E,SI1,60.8,59.0,1395,5.13,4.91,3.12
1.51,Premium,G,I1,62.5,58.0,9992,7.19,7.58,4.53
0.27,Premium,J,VS2,61.0,58.0,658,4.28,4.23,2.75
0.41,Fair,G,SI1,67.6,58.0,1685,4.73,4.77,2.96
0.27,Very Good,G,VS2,62.8,55.0,343,4.24,4.38,2.77
0.31,Ideal,D,VS2,61.4,56.0,611,4.44,4.42,2.7
0.26,Ideal,G,VVS1,61.6,53.9,677,4.45,4.37,2.59
0.3,Good,H,VS1,63.7,57.0,800,4.4,4.34,2.67
0.89,Ideal,F,VS1,62.5,55.0,4499,6.15,6.52,3.95
0.75,Premium,E,SI2,61.6,59.0,2908,6.23,5.75,3.5
0.53,Very Good,F,SI1,63.1,57.0,1572,5.18,5.27,3.18
0.71,Fair,F,SI1,66.1,60.0,2102,5.68,5.62,3.59
0.27,Premium,F,VVS2,60.9,56.0,915,4.64,4.38,2.67
0.62,Premium,G,VS2,62.9,59.0,1479,5.33,5.31,3.36
1.19,Ideal,G,VVS1,62.0,55.0,7624,7.0,6.73,4.29
0.31,Ideal,F,IF,60.9,55.0,1754,5.44,4.55,2.7
1.02,Premium,F,SI1,59.7,62.2,5579,6.46,6.51,3.82
0.3,Premium,E,VVS1,62.9,58.0,651,4.28,4.27,2.77
0.44,Ideal,D,SI1,61.7,56.0,895,4.88,4.86,3.0
0.28,Good,D,SI1,63.8,58.0,853,4.37,4.39,2.75
0.26,Good,E,VS2,62.3,58.0,703,4.35,4.29,2.78
