fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
12.9359,10.579,2.2464,0.7292,0.4363,-9.7103,-2.0157,-0.3278,1.5047,150.0274,g
47.7933,13.2831,2.9377,0.262,0.1596,35.2333,55.5685,-2.7923,63.1142,244.7652,g
22.0561,15.6272,2.3615,0.5044,0.2216,6.9886,30.099,7.7331,16.0025,200.0674,g
22.8689,14.7513,2.6388,0.5711,0.2832,-14.3038,13.3076,-5.4232,48.2057,195.4194,g
38.4583,13.4221,2.7111,0.4777,0.2946,17.6788,-15.5038,-8.3783,82.323,163.4204,h
36.0338,10.137,2.653,0.3689,0.186,19.4417,-23.2173,6.9713,16.9832,131.0435,g
70.0378,21.5051,3.1763,0.1792,0.0894,60.569,54.0907,-20.274,0.1711,223.079,g
28.3759,15.9063,2.7124,0.5494,0.3283,-4.3778,-17.2916,-4.263,77.4498,91.7043,g
49.6623,17.8911,2.8006,0.3281,0.1659,-32.6709,0.763,-12.9017,47.3662,172.1392,g
75.7887,32.8909,3.1586,0.2415,0.132,10.2437,39.6337,16.514,5.2852,349.5648,g
21.8088,16.398,2.6567,0.4476,0.2545,14.1352,1.2701,18.8584,48.3422,102.1974,g
33.6004,11.8273,2.5177,0.5822,0.2688,-16.8996,-15.0495,6.8158,72.588,51.3313,h
25.6381,12.7726,2.41,0.3982,0.208,22.4102,13.6002,-0.9356,16.3198,212.4451,g
88.0652,50.4634,3.4092,0.1647,0.1079,-96.8954,63.6337,13.7198,2.8871,349.9645,g
263.9465,63.5536,3.3429,0.1156,0.1062,-291.1659,-204.0358,-52,42.3333,273.1666,h
57.6565,14.7947,3.062,0.2796,0.2376,39.4394,41.8991,-18.1934,36.0641,275.4805,h
31.9848,14.788,2.4911,0.4616,0.2503,-30.9582,6.3106,0.5174,12.1116,222.1511,g
84.1251,53.5854,3.0725,0.4483,0.2607,-86.2582,-107.0583,-23.4058,4.8956,189.4951,h
40.21,15.7149,2.7903,0.3747,0.2524,24.0171,33.0711,-9.1717,7.3081,192.0136,g
49.3117,22.544,2.8305,0.2334,0.1357,18.109,-13.269,13.7029,57.636,77.7885,h
15.469,11.3663,2.3847,0.6197,0.3944,-0.6443,-4.1436,-6.2356,67.8512,167.7432,g
48.4753,23.6314,3.0697,0.1971,0.0807,-42.0462,-24.8824,8.7765,4.0521,195.6997,g
64.4218,25.9787,3.1183,0.1575,0.1056,-38.174,49.2989,3.9786,3.4742,235.971,g
23.1216,9.1506,2.4323,0.7715,0.3673,11.533,3.4403,8.7534,43.1863,159.0694,h
15.8782,6.1937,2.3491,0.6213,0.3023,-4.955,16.1618,-4.482,28.9173,190.5991,h
108.3232,25.5109,3.4354,0.172,0.1062,-80.4297,39.6848,-24.9464,0.9043,302.8252,g
115.8108,28.0882,2.8921,0.2607,0.1612,45.4354,-169.1749,-25.9801,14.785,234.5127,h
46.8255,20.1343,3.0132,0.2846,0.1423,-0.0037,-35.7242,11.3613,3.5698,217.8031,g
22.8415,13.1358,2.4377,0.5782,0.3188,21.5545,13.2557,7.4253,68.4351,100.3368,h
53.1495,15.3772,2.8076,0.3186,0.1591,56.8693,15.9439,-0.4378,24.2608,125.3802,g
55.1863,15.7456,2.7561,0.3084,0.2002,40.0813,12.0869,8.2064,7.5799,218.6304,g
25.8816,10.5812,2.3841,0.541,0.3023,-12.267,-15.8172,4.2152,15.7517,134.011,h
219.9644,29.8741,2.9796,0.3746,0.2091,-200.9755,130.5324,-30.5061,48.5636,163.471,h
122.2199,30.3118,3.6412,0.142,0.1031,67.0517,81.4561,22.0861,0.5436,219.6588,g
26.3327,12.1547,2.472,0.5485,0.3238,20.603,12.7037,5.023,19.5071,120.9538,g
20.1893,13.7548,2.4416,0.4399,0.3247,-6.5285,-13.2814,-1.1619,23.2796,70.2723,g
41.2948,12.6393,2.6086,0.4636,0.2434,-24.1175,16.4849,-4.4806,59.0788,256.6499,g
19.6566,10.5654,2.1773,0.571,0.3236,10.0763,-0.9966,9.4257,12.7384,85.7136,h
33.7582,9.789,2.7712,0.5098,0.2415,23.2753,19.6849,6.422,10.5169,123.2921,g
20.1577,5.3246,2.4466,0.6007,0.3626,-20.2888,-13.2908,-0.239,57.8284,189.9326,g
56.419,29.5295,2.9776,0.2424,0.1245,-75.1691,30.5543,3.2297,18.0478,262.6419,g
34.0106,13.2986,2.6009,0.4427,0.2685,8.5815,20.1297,-3.2399,27.0358,144.3042,g
41.0163,15.7643,2.7113,0.3009,0.1772,16.7066,24.9029,14.4196,3.5009,225.3668,g
98.9958,32.1869,3.5653,0.197,0.1262,1.0151,65.6131,-22.3751,1.4468,315.055,g
65.7155,20.2657,3.326,0.2202,0.1082,27.0002,72.155,-11.676,6.4944,219.2194,g
56.787,30.7327,3.1551,0.2688,0.1794,68.4266,30.5964,-19.3387,7.3826,212.062,g
13.4204,10.3277,2.1958,0.8001,0.4178,14.7768,3.4401,-11.888,51.1385,136.344,g
25.2067,13.4301,2.5637,0.511,0.2893,-24.7604,-11.5894,-1.8778,2.0635,95.9332,g
21.6418,11.0437,2.4202,0.5797,0.3115,15.3865,16.344,1.6611,18.9751,142.4225,g
