carat,cut,color,clarity,depth,table,price,x,y,z
0.48,Good,D,SI1,63.2,59.5,902,4.79,4.99,3.02
0.27,Very Good,G,VVS1,62.7,54,564,4.01,4.08,2.55
0.39,Ideal,D,VS1,62,57,879,4.7,4.7,2.91
1.16,Fair,H,SI1,65.2,60.3,5694,6.4,6.4,4.03
1.44,Very Good,I,SI1,59.3,61.9,7642,7.33,7.94,4.44
1.62,Premium,F,SI2,60.2,58.3,12044,7.63,7.58,4.57
0.26,Ideal,F,IF,61.7,56.6,791,4.14,4.18,2.57
2.39,Ideal,H,SI2,62.6,54,16765,8.58,8.56,5.4
0.89,Very Good,F,SI2,63.3,58.1,3473,6.08,6.06,3.85
1.55,Premium,G,SI1,61.7,59.1,14303,7.47,7.4,4.55
1.16,Ideal,F,SI2,61.9,57.2,4277,6.68,6.63,4.13
0.31,Premium,D,VVS1,62.1,58.6,1019,4.38,4.35,2.7
0.6,Ideal,G,VS2,61,56.9,1701,5.43,5.44,3.3
0.67,Ideal,G,SI2,59.5,57,2686,5.68,5.81,3.4
0.48,Very Good,F,SI1,62.7,55.3,1188,5.11,4.97,3.08
0.43,Ideal,H,VVS1,61.2,56.2,1343,4.93,4.86,3.01
0.91,Very Good,F,VS1,62.5,58.3,5130,6.16,6.2,3.81
0.78,Ideal,G,SI2,61.6,53.9,2300,5.94,5.88,3.76
1.63,Good,I,VS2,63.3,58.3,14465,7.56,7.7,4.87
1.02,Premium,F,VS1,63,58.6,7806,6.39,6.35,4.01
0.77,Ideal,J,SI1,62.3,56.2,1883,5.64,6.03,3.66
1.18,Ideal,H,SI1,62.3,57.3,4866,6.79,6.51,4.11
0.52,Ideal,E,VS2,61.4,57,1794,5.11,5.17,3.17
0.52,Ideal,E,IF,61.8,57.6,2881,4.9,5.09,3.22
0.31,Ideal,E,VS2,61.7,56.3,670,4.32,4.33,2.67
1.03,Premium,I,SI2,61.5,57.3,4379,6.46,6.45,3.99
0.31,Ideal,G,VS2,61.8,56.1,922,4.42,4.39,2.69
0.73,Ideal,F,VS2,62.8,57.1,2798,5.75,5.74,3.59
1,Good,I,SI1,60.5,57.6,6839,6.36,6.45,3.86
0.78,Ideal,E,SI1,62,55.4,3281,5.9,5.98,3.67
0.55,Premium,E,VS2,62.6,58.8,1791,5.2,5.02,3.23
1.49,Premium,I,VS2,62.3,60.2,9050,7.34,7.2,4.55
1.14,Very Good,I,I1,61.4,55.9,4207,6.73,6.72,4.16
0.84,Ideal,E,VS2,60.3,59.5,5548,6.22,6.26,3.79
0.35,Ideal,I,SI2,62.2,55.8,433,4.55,4.43,2.77
1.52,Ideal,H,VS1,60.9,57.7,12220,7.44,7.34,4.55
0.4,Ideal,G,VS2,61.4,54.6,852,4.76,4.78,2.94
0.98,Fair,G,I1,67.6,62.7,1635,6.15,5.96,4.05
2.01,Very Good,J,SI2,62.5,58.6,11084,7.99,8.05,4.99
0.62,Ideal,G,VVS2,61.5,55.3,2730,5.49,5.57,3.41
