carat,cut,color,clarity,depth,table,price,x,y,z
0.73,Premium,G,VS1,62,57.7,2592,5.87,5.85,3.56
0.41,Very Good,H,SI1,62.6,57.2,610,4.72,4.69,2.93
1.5,Ideal,I,SI1,62.7,55,10167,7.39,7.32,4.57
0.46,Ideal,H,VS1,61.7,55.3,1460,4.94,5.02,3.05
1.01,Good,H,VS1,64,59.6,5668,6.34,6.32,4.05
1.15,Good,H,SI1,62.8,59.2,4887,6.67,6.66,4.19
0.41,Premium,F,VS1,63.6,57.2,888,4.72,4.79,2.99
0.32,Ideal,F,IF,61.8,54.7,1013,4.42,4.42,2.73
0.3,Ideal,D,VS1,62.1,54.2,556,4.3,4.34,2.7
0.8,Ideal,D,SI1,61.9,55.7,3218,5.98,5.98,3.72
0.57,Ideal,G,VVS2,61.9,54.1,1350,5.34,5.34,3.32
0.7,Premium,E,VS2,60.5,58.3,2531,5.72,5.7,3.5
1.02,Good,G,SI1,64.2,56.8,3622,6.34,6.29,4.03
0.32,Premium,F,VS2,61,60.3,642,4.37,4.41,2.68
1.02,Ideal,H,SI1,59.2,57,5974,6.58,6.54,3.98
0.3,Very Good,G,SI1,62.5,58.1,421,4.24,4.27,2.68
0.46,Ideal,G,VVS1,61.4,55.2,1439,4.99,5,3.07
1.1,Ideal,G,I1,61.6,56,3421,6.48,6.49,4.09
1.79,Premium,I,SI2,61.5,57.4,10013,7.77,7.7,4.82
0.3,Ideal,H,VS1,62.6,54.5,456,4.29,4.29,2.59
0.91,Ideal,G,SI2,62.7,59.2,3646,6.15,6.21,3.85
0.72,Good,G,VS2,63.3,55.9,3142,5.75,5.79,3.67
1.22,Premium,G,VVS2,59.6,59.4,9639,6.91,6.96,4.12
1.16,Premium,J,SI2,58.5,60.3,4176,6.83,6.9,4.05
0.28,Ideal,G,VVS2,61.4,60.1,548,4.25,4.25,2.58
1.25,Very Good,J,VS1,62.2,58.3,5728,6.88,6.93,4.23
0.79,Very Good,E,SI2,63.4,55.5,2886,5.91,5.87,3.85
0.39,Premium,F,VS2,61.1,57,806,4.69,4.75,2.9
1.01,Premium,G,VVS2,60.9,60,9354,6.49,6.52,3.94
0.7,Ideal,H,VS1,61.8,54.3,2810,5.81,5.69,3.53
1.55,Premium,J,VS2,61,60.1,7663,7.43,7.44,4.52
2.01,Premium,H,SI1,61.8,60.2,16274,8.13,7.98,4.96
0.57,Very Good,E,SI2,59.5,57.6,1383,5.45,5.48,3.25
0.27,Ideal,H,IF,61.9,55.9,614,4.22,4.15,2.63
