carat,cut,color,clarity,depth,table,price,x,y,z
0.69,Ideal,F,VS2,61.3,56.0,2522,5.62,5.73,3.51
2.08,Ideal,I,SI1,60.9,56.0,9170,7.53,7.63,4.59
0.31,Ideal,H,VVS1,61.7,56.0,887,4.39,4.41,2.71
0.44,Ideal,G,VVS1,61.4,57.0,894,4.76,4.79,2.97
0.4,Ideal,D,SI2,61.0,56.0,849,4.85,4.81,2.96
0.32,Ideal,H,VS2,62.6,56.0,701,4.37,4.29,2.72
0.72,Ideal,I,SI1,63.1,56.0,2635,5.85,5.65,3.62
0.34,Ideal,D,VS2,61.3,57.0,965,4.46,4.48,2.74
0.73,Ideal,E,VS2,61.5,56.0,3008,5.76,5.67,3.55
0.51,Ideal,G,SI2,61.2,56.0,769,5.22,5.28,3.2
0.39,Very Good,E,VS1,62.6,57.0,756,4.68,4.72,2.93
0.41,Ideal,D,SI2,62.6,56.0,717,4.41,4.75,2.75
0.5,Very Good,G,VS2,63.2,59.0,2428,5.04,5.02,3.2
0.73,Ideal,F,VVS2,61.9,56.0,5127,5.65,6.33,3.88
0.44,Ideal,G,VS2,61.8,56.0,757,4.34,4.63,2.84
1.29,Ideal,J,SI2,63.3,56.0,5865,7.52,7.35,4.4
0.32,Premium,I,VS2,62.7,58.0,445,4.37,4.35,2.75
1.1,Premium,J,SI2,62.5,59.0,4154,6.75,6.44,4.27
0.42,Ideal,D,VS2,61.4,56.0,1050,4.86,4.86,2.99
0.98,Ideal,G,SI1,60.4,56.0,4260,6.25,6.37,3.85
0.33,Good,G,VS2,63.2,56.0,694,4.36,4.35,2.81
0.73,Very Good,F,SI1,63.6,56.0,2921,5.74,5.66,3.58
0.43,Ideal,H,VS1,60.1,56.0,1169,4.97,4.87,3.18
1.57,Ideal,G,VS1,61.8,58.0,17055,7.4,7.64,4.62
1.02,Very Good,D,VS2,61.9,58.0,7564,6.27,6.44,3.99
1.22,Premium,D,SI2,60.1,61.0,6213,7.38,6.95,4.06
0.72,Very Good,I,SI1,59.5,60.9,1716,5.89,5.86,3.52
0.41,Ideal,D,SI2,60.5,57.0,396,4.77,4.9,2.95
0.3,Premium,E,VVS2,60.2,60.0,774,4.34,4.34,2.57
1.02,Premium,F,SI2,60.5,59.0,4500,6.57,6.43,3.86
1.54,Premium,I,SI1,60.2,59.0,6500,7.42,7.38,4.77
0.35,Good,G,VVS2,63.9,56.0,972,4.56,4.33,2.84
1.19,Good,H,SI1,63.9,56.0,5372,6.47,6.73,4.29
0.38,Ideal,G,VS2,60.2,57.0,673,4.62,4.81,2.87
0.42,Ideal,F,SI1,62.3,56.0,831,5.22,4.71,2.95
1.04,Good,H,VS2,63.1,59.0,4712,6.37,6.12,3.88
0.75,Ideal,G,VS1,61.7,57.0,5623,5.64,5.95,3.78
1.0,Good,G,VS2,62.9,56.0,4811,6.41,6.27,3.98
0.55,Premium,D,SI2,60.6,61.0,3577,6.58,5.85,4.07
1.03,Good,G,VS1,57.1,60.0,6753,6.29,6.82,3.83
0.71,Premium,H,SI2,62.4,58.0,2906,5.73,5.74,3.58
0.26,Very Good,F,VVS1,60.1,58.0,632,4.29,4.02,2.53
0.4,Ideal,D,VS2,61.6,58.0,955,4.42,4.78,2.97
0.73,Ideal,G,VVS2,61.7,57.0,4743,5.57,5.78,3.54
0.44,Ideal,H,I1,63.1,56.0,7907,8.39,7.91,3.02
1.04,Premium,E,SI2,59.8,59.0,3159,6.37,6.19,4.12
0.71,Very Good,F,SI2,60.3,59.0,2750,5.64,5.75,3.46
0.33,Ideal,E,VS1,63.0,56.0,843,4.45,4.77,2.82
2.28,Premium,J,I1,62.0,60.0,6437,8.21,8.13,4.99
0.69,Very Good,F,VS1,62.3,60.0,2378,5.77,5.61,3.48
0.32,Premium,G,VVS1,61.8,61.0,1282,4.3,4.25,2.65
0.33,Premium,G,VVS2,61.0,60.0,940,4.51,4.35,2.71
0.57,Ideal,D,SI1,61.0,56.0,1814,5.28,5.34,3.25
0.42,Ideal,D,SI2,60.8,56.0,829,4.8,4.84,2.95
1.19,Premium,D,SI2,61.7,59.0,4498,6.51,6.69,4.02
0.71,Ideal,E,SI1,61.6,57.0,2639,5.63,5.77,3.54
1.34,Very Good,J,I1,61.3,59.0,13896,8.13,8.42,4.34
0.31,Very Good,F,VS1,62.8,56.6,645,4.38,4.39,2.77
1.48,Premium,G,IF,60.3,61.0,7123,7.46,7.22,4.69
0.32,Ideal,H,VVS1,62.4,57.0,1178,4.35,4.38,2.74
0.43,Ideal,G,VS1,63.2,56.0,801,4.47,4.83,2.87
1.04,Very Good,G,VS1,63.3,57.0,7856,6.38,6.41,4.06
0.53,Very Good,E,SI1,63.4,56.0,1526,5.16,5.21,3.27
1.09,Premium,I,SI1,62.5,57.0,8357,7.16,7.18,4.17
0.32,Ideal,F,VVS2,61.9,57.0,1004,4.37,4.36,2.72
0.31,Very Good,E,SI1,62.4,60.0,478,4.19,4.36,2.71
0.36,Premium,G,VVS2,61.6,59.0,983,4.8,4.55,2.8
0.73,Premium,H,SI1,62.9,60.0,2289,5.69,5.62,3.56
1.07,Ideal,D,VS2,61.0,57.0,6991,7.14,6.7,4.02
1.12,Ideal,F,SI2,61.0,58.0,5725,6.65,6.84,4.05
0.4,Ideal,G,VS1,61.2,56.0,1137,4.86,4.75,2.92
1.01,Ideal,H,SI2,60.5,56.0,3718,5.95,5.85,3.98
0.98,Ideal,H,SI2,61.2,56.0,3705,6.4,6.41,3.89
0.33,Premium,H,VS2,60.9,58.0,603,4.53,4.41,2.71
1.18,Premium,J,I1,62.4,61.0,3764,6.55,7.32,4.26
0.69,Very Good,H,VVS2,61.6,59.0,3074,5.67,5.76,3.52
1.07,Premium,G,VS2,61.6,61.0,6207,6.58,6.46,4.01
0.73,Ideal,H,VS2,60.9,57.0,3451,5.87,5.75,3.5
0.42,Good,G,VS1,63.7,58.0,970,4.69,4.75,2.98
2.04,Very Good,I,SI1,63.3,57.0,16688,8.3,8.13,5.23
0.29,Very Good,E,VVS1,63.6,56.0,843,4.09,4.23,2.67
