carat,cut,color,clarity,depth,table,price,x,y,z
0.34,Very Good,E,VVS1,59.3,58.0,1517,4.38,4.74,2.58
0.34,Premium,E,VVS2,61.5,58.0,1047,4.41,4.37,2.71
0.43,Premium,H,VVS2,59.6,59.0,1004,4.64,4.66,2.96
0.7,Good,I,SI2,56.6,55.0,1773,5.75,5.85,3.34
1.16,Fair,H,SI2,62.7,59.0,1805,6.76,5.83,1.45
0.52,Premium,G,VS1,61.7,59.0,2372,5.41,5.35,3.31
0.41,Ideal,D,SI2,60.4,56.0,3232,4.89,4.91,2.91
1.17,Very Good,G,VS2,60.3,59.0,6899,6.9,6.85,4.2
0.42,Ideal,G,VS1,62.6,56.0,827,4.71,4.74,2.98
1.27,Premium,J,VS2,62.0,58.0,5934,6.89,6.99,4.19
0.79,Very Good,G,VS2,63.2,57.0,4011,5.86,5.76,3.69
0.28,Very Good,E,VS2,62.6,56.0,640,4.27,4.32,2.67
0.29,Very Good,E,VS2,59.7,54.1,775,4.37,4.4,2.63
0.42,Premium,H,VS1,62.0,58.0,976,4.81,4.76,2.96
0.32,Very Good,F,SI2,62.1,57.0,509,4.49,4.36,2.73
0.4,Premium,G,VVS1,62.4,58.0,950,4.34,4.31,2.7
1.01,Very Good,I,VS2,63.4,58.0,3471,6.27,6.37,4.07
1.3,Ideal,G,VS1,61.8,58.0,7923,7.33,6.95,4.33
0.38,Premium,G,VVS2,62.1,60.0,732,4.38,4.35,2.72
0.78,Premium,D,SI2,60.6,59.0,2488,5.94,5.94,3.62
0.51,Good,E,VS1,59.3,63.8,729,4.77,4.53,3.12
1.01,Ideal,D,SI2,60.2,53.6,4413,6.44,6.46,3.85
0.42,Ideal,I,VS1,63.4,56.0,687,4.68,4.63,2.99
0.31,Premium,G,SI1,60.7,59.0,758,4.41,4.33,2.61
1.5,Ideal,D,VVS2,62.4,56.0,16332,7.28,7.19,4.5
1.25,Ideal,D,VS2,62.8,57.0,4621,6.21,5.99,3.66
0.35,Premium,D,VS2,61.2,58.0,1241,4.52,4.47,2.75
0.69,Ideal,D,SI2,61.7,56.0,2141,5.72,5.64,3.51
0.4,Ideal,I,VS1,61.4,57.0,492,4.4,4.86,2.95
0.95,Ideal,H,SI1,62.5,53.6,2491,6.0,6.12,3.87
0.81,Very Good,J,VS1,62.5,56.0,4399,6.41,6.37,3.55
0.49,Very Good,E,VS2,59.9,57.0,3277,4.61,4.72,3.12
0.42,Premium,H,VS1,62.4,59.0,699,4.83,4.9,3.01
0.74,Ideal,H,SI1,61.6,53.9,1899,5.93,5.93,3.57
1.0,Good,H,VS2,58.6,56.0,4126,6.37,6.5,3.79
1.0,Premium,H,SI1,59.0,59.0,2946,6.46,6.41,3.78
0.51,Premium,D,SI2,62.8,59.0,2574,5.17,5.06,3.25
1.11,Very Good,F,VS2,59.2,59.0,5885,6.99,6.8,4.11
0.4,Very Good,F,VS2,63.0,57.0,998,4.7,4.78,2.96
0.43,Premium,I,SI1,63.2,58.0,478,4.46,4.67,3.01
1.01,Ideal,D,VS2,62.7,57.0,7083,6.3,6.39,3.98
0.41,Good,F,VVS1,62.6,58.0,1516,4.73,4.79,2.99
1.23,Ideal,D,VS2,59.5,56.0,9491,6.79,7.11,4.33
1.05,Fair,J,SI2,66.1,58.0,3227,6.45,5.73,4.05
0.96,Fair,I,VS1,58.5,58.0,3100,6.28,6.26,4.01
0.31,Premium,G,VVS1,63.3,57.0,978,4.38,4.32,2.72
1.02,Premium,F,VS1,63.5,58.0,10803,6.45,6.41,4.08
1.14,Good,F,SI2,65.0,57.0,4902,6.56,6.53,4.21
0.75,Very Good,I,VVS1,61.0,58.0,2824,5.71,5.7,3.49
1.24,Good,E,VS1,61.0,56.0,8665,6.96,6.83,4.03
0.4,Good,G,SI1,61.1,59.0,668,4.87,4.59,2.92
0.49,Very Good,D,SI1,62.8,58.0,750,5.2,4.81,3.03
0.42,Very Good,I,VVS1,62.9,57.0,652,4.75,4.84,3.01
0.34,Premium,D,SI2,58.3,59.0,611,5.94,5.63,2.64
0.34,Good,H,VS1,63.2,56.0,615,4.13,4.45,2.83
0.87,Very Good,H,VS2,60.7,58.0,4335,6.4,6.48,3.02
1.44,Good,F,SI1,58.4,59.0,4416,5.96,5.9,3.6
1.03,Fair,E,SI1,66.8,53.9,5916,6.44,6.49,4.2
0.41,Ideal,G,VS1,62.2,56.0,782,4.44,4.4,2.74
0.41,Good,E,VS1,62.3,60.0,849,4.6,4.65,2.99
0.73,Premium,E,SI1,59.6,57.0,3200,5.8,5.8,3.49
1.01,Premium,E,VS2,61.7,59.0,6335,6.26,6.4,3.95
0.92,Very Good,G,VS1,61.6,59.0,4701,6.11,6.28,3.84
0.31,Very Good,D,VS2,62.8,57.0,862,4.49,4.56,2.79
0.4,Ideal,G,VVS2,61.9,57.0,840,4.38,4.79,2.95
0.29,Premium,E,VS2,60.4,59.0,882,4.58,4.35,2.6
1.14,Fair,H,SI2,63.3,62.3,4760,6.57,6.56,4.13
1.12,Premium,D,VS2,60.6,59.0,7053,6.61,6.68,4.0
1.61,Premium,G,VVS2,62.5,59.0,17576,7.27,7.41,4.63
1.01,Very Good,H,SI1,60.7,58.0,4083,6.48,6.56,3.95
1.18,Very Good,H,SI2,64.0,57.0,4437,6.42,6.59,4.12
1.59,Premium,H,SI2,57.6,59.0,4571,7.29,7.22,3.66
0.7,Very Good,J,I1,61.3,60.9,2313,5.65,5.6,4.44
0.39,Ideal,G,VS2,62.6,57.0,425,4.55,4.73,2.92
1.04,Fair,H,SI1,63.1,58.0,4645,6.44,6.43,4.07
1.0,Very Good,H,SI1,61.4,56.0,4214,6.41,6.49,3.96
1.0,Premium,D,SI1,59.3,59.0,6516,6.25,6.32,3.8
0.31,Ideal,G,VVS1,61.7,56.0,1006,4.42,4.37,2.72
1.47,Premium,G,VS1,61.2,59.0,17789,6.97,6.94,4.25
0.26,Very Good,F,VS1,61.5,58.0,596,4.39,4.12,2.55
0.32,Very Good,F,VVS2,60.8,58.0,666,4.79,4.45,2.69
1.01,Very Good,H,VS2,62.0,58.0,5093,6.37,6.44,3.98
0.9,Good,J,SI2,59.8,58.0,3592,5.72,5.77,3.48
0.41,Premium,H,VVS1,61.4,59.0,868,4.45,4.44,2.74
0.3,Ideal,F,VVS2,61.7,57.0,1079,4.28,4.32,2.66
0.43,Ideal,F,VS2,61.4,56.0,1491,4.93,5.38,3.0
0.34,Ideal,D,VS2,61.6,57.0,973,4.61,5.75,2.71
1.23,Fair,H,VS1,58.7,62.3,3680,6.12,5.92,4.02
0.9,Premium,F,SI1,62.4,59.0,4993,5.94,6.04,3.77
0.35,Ideal,D,VS2,63.4,56.0,953,5.12,4.55,2.95
1.01,Fair,J,SI2,64.5,54.0,3531,6.45,6.43,4.2
0.41,Very Good,E,VS2,59.1,58.0,728,4.55,4.88,2.91
1.01,Good,J,SI1,64.8,55.0,2815,6.29,6.34,3.99
1.52,Ideal,F,VS2,61.6,57.0,16649,7.33,7.43,4.55
0.49,Ideal,D,SI1,60.4,57.0,3287,5.17,5.37,3.25
0.41,Ideal,G,VVS1,61.4,62.9,1104,4.81,4.85,2.97
0.9,Very Good,E,SI1,61.4,59.0,4094,6.2,6.27,3.79
0.44,Good,G,VS2,64.0,56.0,792,4.47,4.76,2.91
1.32,Very Good,F,VS1,61.6,56.0,7988,6.33,7.29,3.87
0.28,Very Good,H,SI1,61.5,57.0,565,4.27,4.26,2.63
0.68,Good,H,VS1,60.5,55.0,2421,5.7,5.65,3.08
1.49,Very Good,E,VVS2,61.3,59.0,16233,7.31,6.94,4.48
