carat,cut,color,clarity,depth,table,price,x,y,z
1.04,Premium,D,VS1,61.4,58,7812,6.55,6.49,4
0.25,Very Good,F,VVS1,62.9,57,526,3.99,4.02,2.54
1.01,Good,I,SI2,62.6,59,3818,6.29,6.38,3.95
1,Premium,F,SI2,62.5,61,4372,6.34,6.32,3.95
0.37,Good,F,VS2,63.3,56,1415,4.6,4.5,2.91
0.56,Premium,D,SI1,59.9,60,1814,5.37,5.34,3.19
2.12,Good,I,VS2,59,65,11115,8.38,8.29,4.95
0.32,Good,I,SI1,63.6,55,432,4.34,4.37,2.77
0.4,Ideal,I,VVS2,61.8,56,863,4.75,4.77,2.95
1.2,Ideal,G,VS2,61.9,56,8030,6.93,6.89,4.23
0.24,Ideal,F,VVS2,61.8,55,498,4.02,4.07,2.47
0.46,Premium,E,VS1,61.7,58,1437,4.94,4.89,3.05
2.02,Premium,F,SI2,60.1,60,12615,8.2,8.17,4.91
0.72,Fair,H,SI1,64.8,55,2176,5.67,5.76,3.64
0.25,Good,D,VVS2,63.8,55,462,3.95,3.99,2.56
1.09,Premium,J,SI2,60,61,3271,6.72,6.64,4.04
0.71,Very Good,E,VS2,59.9,63,2921,5.8,5.73,3.45
1.39,Very Good,J,VS2,62.8,59,6366,7.05,7.09,4.45
0.9,Very Good,D,SI2,62.9,58,3534,6.09,6.18,3.87
0.32,Very Good,H,VVS2,62.7,58,645,4.34,4.31,2.73
0.9,Good,E,SI2,65.8,58,3139,6.02,6.07,3.92
0.32,Ideal,D,SI1,60.9,55,589,4.4,4.43,2.7
0.76,Premium,D,SI1,61.3,56,2942,5.89,5.94,3.59
1.05,Very Good,F,SI2,62.9,57,4656,6.44,6.48,4.03
1.55,Good,H,VS2,62.3,62,11632,7.36,7.42,4.56
0.58,Ideal,F,VS1,61.1,57,2245,5.36,5.42,3.3
0.31,Ideal,E,VS2,61.7,55,680,4.34,4.37,2.69
0.4,Good,F,VVS2,57.7,56,1012,4.84,4.87,2.79
0.71,Ideal,E,VS2,59.5,57,2719,5.84,5.89,3.46
0.32,Very Good,H,VS2,62.3,54,505,4.38,4.4,2.74
0.31,Very Good,J,SI1,62.7,60,353,4.34,4.3,2.71
1.05,Very Good,H,VS2,63.2,59,4911,6.46,6.38,4.06
0.61,Ideal,H,VS2,61.6,55,1709,5.47,5.49,3.35
2.04,Very Good,J,VS2,63,53,13667,7.99,8.11,4.97
1.22,Premium,G,SI2,61.9,59,5373,6.87,6.81,4.26
1.35,Premium,H,VS2,61.5,60,7943,7.09,7.06,4.38
0.9,Good,G,VS2,63.6,58,4243,6.11,6.13,3.89
0.53,Ideal,D,VVS2,62.2,55,2145,5.17,5.21,3.22
0.4,Ideal,E,VVS2,61.5,55,1158,4.74,4.77,2.93
0.52,Ideal,J,VS2,62.8,57,1114,5.13,5.15,3.24
1,Very Good,F,VVS2,63,56,8227,6.29,6.35,4.01
1.01,Fair,D,VS2,64.8,58,6366,6.27,6.15,4.02
0.6,Ideal,E,VS2,61.8,56,2061,5.41,5.44,3.35
0.7,Good,F,SI2,64.1,59,1609,5.58,5.49,3.58
0.38,Good,E,VS2,56.2,59,719,4.85,4.9,2.74
0.91,Premium,H,VS2,61,59,4313,6.29,6.21,3.8
0.35,Premium,D,VS2,61.9,58,829,4.5,4.53,2.8
0.9,Premium,D,SI2,62.7,59,3298,6.1,6.03,3.83
2.21,Premium,G,SI2,59.3,58,15751,8.58,8.55,5.11
1.04,Premium,F,VVS2,61.8,59,9728,6.47,6.51,4
0.3,Very Good,G,VS1,62.9,59,605,4.24,4.27,2.68
1.02,Good,H,SI2,60.3,61,4284,6.55,6.56,3.95
0.35,Premium,H,VVS1,60.1,58,773,4.54,4.61,2.74
0.27,Very Good,F,VVS2,61.8,58,620,4.14,4.18,2.57
1.03,Ideal,F,VVS1,62.3,56,10619,6.43,6.47,4
1.01,Very Good,I,VS2,64,56,5067,6.3,6.35,4.01
0.32,Ideal,D,SI2,62.4,54,574,4.38,4.4,2.73
1.22,Ideal,F,SI2,62.5,58,6518,6.81,6.77,4.23
1.55,Ideal,F,SI1,61.9,54,11999,7.51,7.37,4.6
0.9,Good,E,SI1,63.9,59,3992,6.06,6.03,3.88
0.83,Premium,D,VS2,59.7,60,3697,6.13,6.08,3.68
1.1,Ideal,D,VVS2,61.9,56,11550,6.58,6.51,4.09
0.53,Premium,F,VS1,61.8,58,1908,5.2,5.11,3.21
0.7,Premium,D,SI1,62.1,59,2355,5.67,5.73,3.48
1,Very Good,D,VS2,63.4,58,5169,6.37,6.34,4.03
0.7,Premium,H,VVS2,61,59,2427,5.66,5.64,3.45
1.54,Very Good,I,SI2,61.2,63,7589,7.38,7.33,4.54
0.34,Ideal,E,SI1,61.8,55,644,4.49,4.51,2.77
0.9,Very Good,H,VS2,63.3,55,4247,6.19,6.11,3.88
2.31,Premium,J,SI1,61.1,58,14666,8.57,8.51,5.25
0.51,Good,H,SI1,63.6,55,1111,5.07,5.1,3.22
0.3,Ideal,G,SI1,62.2,57,477,4.28,4.31,2.67
0.3,Ideal,G,IF,61.8,56,895,4.32,4.35,2.68
1.5,Very Good,I,VS2,60.5,60,8974,7.34,7.39,4.45
0.31,Good,G,VS1,63.8,57,776,4.3,4.28,2.73
1.03,Ideal,F,SI2,62.3,57,3461,6.47,6.45,4.03
0.43,Very Good,G,SI1,61.6,60,792,4.81,4.85,2.97
0.28,Very Good,G,IF,58.1,57,566,4.34,4.37,2.53
1.29,Ideal,F,VS1,61.7,57,11946,7.04,6.95,4.34
1.27,Premium,G,VS2,61.4,60,8530,7.01,6.95,4.27
0.3,Ideal,F,VVS1,61.9,57,814,4.28,4.31,2.66
0.3,Ideal,G,VS2,62.3,56,526,4.29,4.31,2.68
1.21,Premium,I,VS1,62.3,57,6324,6.84,6.76,4.24
1.1,Ideal,I,VS2,61.8,57,5506,6.64,6.57,4.09
0.52,Ideal,E,VVS1,60.9,57,2251,5.21,5.25,3.18
0.71,Ideal,F,VS2,61.6,55,3564,5.73,5.8,3.54
