white-king-file,white-king-rank,white-rook-file,white-rook-rank,black-king-file,black-king-rank,white-depth-of-win
d,1.0,a,1.0,b,3.0,thirteen
d,1.0,d,8.0,d,4.0,fourteen
a,1.0,g,3.0,h,5.0,draw
d,1.0,b,6.0,d,7.0,thirteen
d,3.0,c,6.0,a,1.0,five
a,1.0,e,1.0,f,3.0,fourteen
c,2.0,g,3.0,a,1.0,one
d,2.0,b,2.0,b,4.0,fourteen
c,1.0,c,8.0,a,3.0,fifteen
c,2.0,b,2.0,e,1.0,six
d,2.0,d,4.0,g,8.0,eleven
c,2.0,g,6.0,h,2.0,eleven
c,1.0,e,7.0,b,4.0,fourteen
c,2.0,a,5.0,e,4.0,fourteen
b,1.0,f,2.0,f,1.0,draw
a,1.0,e,6.0,e,8.0,thirteen
d,2.0,h,3.0,a,3.0,twelve
c,1.0,f,4.0,g,3.0,eleven
d,3.0,h,3.0,a,1.0,six
b,2.0,f,3.0,f,6.0,thirteen
d,2.0,d,4.0,h,1.0,six
d,3.0,c,2.0,c,1.0,five
c,3.0,h,8.0,c,6.0,fourteen
b,2.0,d,2.0,h,8.0,eleven
d,1.0,h,8.0,b,6.0,thirteen
d,2.0,c,3.0,e,8.0,six
c,2.0,b,6.0,e,5.0,fourteen
b,1.0,h,2.0,b,7.0,fourteen
c,3.0,c,5.0,h,1.0,eight
d,3.0,g,1.0,a,5.0,seven
a,1.0,g,2.0,c,1.0,seven
c,3.0,g,4.0,f,5.0,draw
d,1.0,d,4.0,g,2.0,thirteen
c,2.0,h,3.0,g,7.0,eleven
d,2.0,h,2.0,h,5.0,thirteen
c,1.0,d,4.0,e,8.0,thirteen
a,1.0,a,3.0,f,3.0,thirteen
c,2.0,g,8.0,a,3.0,thirteen
b,1.0,g,4.0,h,8.0,fourteen
b,2.0,h,6.0,f,4.7876844,fourteen
c,1.0,a,6.0,c,8.0,fourteen
b,2.0,g,3.0,h,4.0,draw
d,2.0,h,8.0,f,4.0,thirteen
c,1.0,b,1.0,e,4.0,thirteen
a,1.0,b,8.0,c,6.0,thirteen
d,3.0,f,3.0,h,8.0,eleven
b,1.0,a,2.0,a,7.0,fourteen
c,1.0,d,1.0,e,8.0,twelve
d,2.0,d,5.0,g,7.0,twelve
d,2.0,h,1.0,g,5.0,eleven
